num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,final_capital,total_fees,symbol
127,48.031496062992126,0.9350207086588476,-10.556119225135193,-26.16231130359025,894.4388077486481,419.46424028961763,BTC
68,30.88235294117647,0.6440685536894888,-38.72544860528721,-39.05984561785185,612.7455139471278,263.38001266864677,ETH
132,53.03030303030303,0.661472256629672,-41.8816106475404,-44.50478843848083,581.183893524596,377.35716095285534,XAUT
51,31.372549019607842,0.6679620706708098,-25.401783263424615,-25.401783263424615,745.9821673657539,130.3354433778179,SOL
61,34.42622950819672,0.442596238250275,-49.658070059336225,-54.83492824820303,503.4192994066378,303.8149868109493,SP500/USD
60,43.333333333333336,0.49662317733554745,-39.23178619772093,-39.34672659263026,607.6821380227907,243.73909351241133,NASDAQ100/USD
8,50.0,1.0615266671771548,0.7123209225141522,-8.226756830547687,1007.1232092251415,28.602107661415747,OIL_BRENT/USD
24,20.833333333333336,1.0747318730304898,4.345251915376344,-27.576844230431234,1043.4525191537634,140.84417889254877,SILVER/USD
28,32.142857142857146,2.2264285614543144,95.96679580048571,-10.842455046298003,1959.6679580048572,132.4325577607657,HYPE/USD
51,47.05882352941176,0.7886570802140106,-13.174203482368762,-17.697789098376894,868.2579651763124,140.84589922431775,AAPL/USD
45,51.11111111111111,1.2134537657604614,15.20900325844448,-18.869742413727796,1152.0900325844448,212.5624714906005,AMZN/USD
