symbol,span_days,base_trades,base_tpd,base_pf,ema_trades,ema_tpd,ema_pf,ema_return,ema_dd,emat_trades,emat_tpd,emat_pf
SILVER/USD,172,40,0.23255813953488372,1.2959303207391382,30,0.1744186046511628,1.785105499518743,27.522709692558283,-11.745797587254495,15,0.0872093023255814,3.7741223821878793
SP500/USD,249,69,0.27710843373493976,1.1710248910893306,54,0.21686746987951808,1.6421764316929621,42.34354591540919,-11.961117199984031,37,0.14859437751004015,1.2776024725848922
NASDAQ100/USD,249,85,0.3413654618473896,1.0759331037809357,65,0.26104417670682734,1.396929843796653,32.449843617258765,-10.766126771437234,44,0.17670682730923695,1.1950818174041558
OIL_BRENT/USD,149,46,0.3087248322147651,1.2011603284802332,33,0.2214765100671141,1.7720173027410604,31.341600248957093,-12.888929000293295,23,0.15436241610738255,2.7248487729350064
XAUT,252,18,0.07142857142857142,1.242132258071762,18,0.07142857142857142,1.242132258071762,5.873661681903968,-9.531245889700743,8,0.031746031746031744,2.148000834972996
AMZN/USD,251,85,0.3386454183266932,1.049409618343391,67,0.26693227091633465,1.4238175947999043,43.583008795937396,-17.70980388073792,53,0.21115537848605578,1.5843952167998896
ADA,252,90,0.35714285714285715,1.7173048046440675,68,0.2698412698412698,2.114671993220547,107.0596028770854,-6.803347987829506,43,0.17063492063492064,2.8236506561830583
LINK,252,90,0.35714285714285715,1.1882152198198281,66,0.2619047619047619,1.0416316515433106,3.6005847745364687,-18.67518541901576,39,0.15476190476190477,1.1081208491277763
BNB,252,121,0.4801587301587302,0.9466971255604373,104,0.4126984126984127,1.264813186789731,41.63938555577852,-16.17253150176411,56,0.2222222222222222,1.4784912388642981
