symbol,span_days,base_trades,base_tpd,base_win_rate,base_pf,base_return,base_dd,delay_trades,delay_tpd,delay_win_rate,delay_pf,delay_return,delay_dd
SILVER/USD,73,21,0.2876712328767123,47.61904761904761,0.7949920423048662,-5.649425744228529,-17.30512630617947,21,0.2876712328767123,42.857142857142854,0.4495690499935674,-15.179395558920339,-20.374759162628685
SP500/USD,73,24,0.3287671232876712,45.83333333333333,0.8079399490523582,-6.4981742324949545,-10.587104896288103,24,0.3287671232876712,33.33333333333333,0.3902298155226898,-21.48713633791349,-21.85774567205713
NASDAQ100/USD,74,31,0.4189189189189189,48.38709677419355,0.9332582754777576,-2.7532364199238146,-17.146172205372903,31,0.4189189189189189,38.70967741935484,0.373113921706171,-24.644545955754925,-27.504881461754437
OIL_BRENT/USD,74,28,0.3783783783783784,35.714285714285715,0.7775825722023831,-8.917659899144121,-18.764693745737564,28,0.3783783783783784,39.285714285714285,0.579777633300145,-16.032878218204974,-22.072725569945817
XAUT,74,5,0.06756756756756757,20.0,0.3062692659105778,-7.08541939304024,-7.08541939304024,5,0.06756756756756757,20.0,0.18568539649185062,-9.489125012878787,-9.489125012878787
AMZN/USD,74,32,0.43243243243243246,31.25,0.5864080412770986,-20.426028694462705,-25.471411955830636,32,0.43243243243243246,34.375,0.5537296481972697,-21.25273612335391,-27.12417750530532
