num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,trades_per_day
107,33.64485981308411,0.6274632031812867,-51.604674362606,-56.735732122733616,-0.3192934276300195,483.95325637394,288.29382291250437,BTC,0,0.4246031746031746
81,32.098765432098766,0.6108377315252165,-43.68286609210939,-47.28978202187577,-0.334378608362713,563.171339078906,207.50116633502282,BTC,20,0.32142857142857145
72,29.166666666666668,0.5536603659860837,-47.02303689393191,-50.416026538086186,-0.42141815509561703,529.7696310606809,183.23544381315975,BTC,30,0.2857142857142857
57,31.57894736842105,0.6133532953697671,-34.30813430469118,-40.76989672397976,-0.3490989738234323,656.9186569530882,155.92322719346177,BTC,40,0.2261904761904762
41,24.390243902439025,0.4634836610638623,-35.37171237504537,-37.920198023811054,-0.513312545021391,646.2828762495463,103.75192221938565,BTC,50,0.1626984126984127
33,24.242424242424242,0.4556646428432202,-29.151883929545473,-30.41758314477889,-0.5036156121112647,708.4811607045452,78.95568138146169,BTC,60,0.13095238095238096
23,26.08695652173913,0.49696969619850273,-19.133021459651342,-23.89659690803417,-0.4432141621973972,808.6697854034866,54.257232370538695,BTC,70,0.09126984126984126
18,33.33333333333333,0.6177508770965302,-10.427731390980375,-15.405810260593283,-0.2882664155816561,895.7226860901962,43.224014933345856,BTC,80,0.07142857142857142
9,11.11111111111111,0.21113811360722143,-13.19911870985078,-14.30936089201866,-0.7713875406986102,868.0088129014922,20.760783377649375,BTC,90,0.03571428571428571
92,42.391304347826086,1.0522908585719202,5.855042956068655,-25.649015796597872,0.05068690282171046,1058.5504295606866,218.32279451025585,ETH,0,0.36507936507936506
65,33.84615384615385,0.721945648994219,-22.753998719452273,-30.402876177826542,-0.1801026636199405,772.4600128054773,125.1141961544046,ETH,20,0.25793650793650796
53,32.075471698113205,0.6874967595641623,-22.090365433607108,-28.58419028244833,-0.21727772856904373,779.0963456639289,107.4918524624114,ETH,30,0.21031746031746032
39,30.76923076923077,0.6501539942146835,-19.0507715255191,-27.739841782429835,-0.25299849781448025,809.492284744809,80.4041456148562,ETH,40,0.15476190476190477
31,29.03225806451613,0.5974184471566867,-17.608501916610088,-20.610437131375072,-0.2948825463171159,823.9149808338991,60.737863490839736,ETH,50,0.12301587301587301
23,30.434782608695656,0.6329317967829615,-12.211116810781197,-15.43194298224294,-0.2656830926176597,877.888831892188,45.19301376237178,ETH,60,0.09126984126984126
16,31.25,0.8001229796241639,-4.562704534960506,-10.338705446421043,-0.12754321271133545,954.372954650395,32.15003845105896,ETH,70,0.06349206349206349
11,27.27272727272727,0.7011435034806671,-4.785600537849973,-12.52374830461817,-0.20575830825005959,952.1439946215003,22.546328102103818,ETH,80,0.04365079365079365
6,16.666666666666664,0.4606849385203889,-4.420783905056692,-5.735593871598973,-0.3637141794699854,955.7921609494331,8.422148687308626,ETH,90,0.023809523809523808
81,35.80246913580247,0.5504307912478574,-47.29321866323843,-49.78788902090774,-0.37726066504627565,527.0678133676157,302.81523121481723,XAUT,0,0.32142857142857145
73,34.24657534246575,0.5238561787710238,-46.20325138730917,-48.288722471249116,-0.40634393149436693,537.9674861269083,256.27795492223095,XAUT,20,0.2896825396825397
67,32.83582089552239,0.4941515882909231,-45.352420843909286,-45.352420843909286,-0.43271664002212706,546.4757915609072,230.97080563685634,XAUT,30,0.26587301587301587
56,33.92857142857143,0.514737651320347,-37.57429959334405,-37.57429959334405,-0.40216119614821516,624.2570040665595,194.2621287989449,XAUT,40,0.2222222222222222
