symbol,v1_trades,v1_tpd,v1_pf,v1_return,v1_dd,v5_trades,v5_tpd,v5_pf,v5_return,v5_dd,winner
ADA,43,0.17063492063492064,2.8236506561830583,90.94749612907272,-8.639623809380844,58,0.10622710622710622,1.491701977245612,46.58685330964302,-22.5926051591163,V1
LINK,39,0.15476190476190477,1.1081208491277763,5.678826557061961,-10.514591152669352,62,0.11355311355311355,0.7984195924127321,-19.160630828184217,-30.089328626396878,V1
BNB,56,0.2222222222222222,1.4784912388642981,35.3414260888956,-11.381662122443823,41,0.07509157509157509,1.3111581385150732,16.816572794015112,-13.394734082442575,V1
