num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,final_capital,total_fees,symbol
108,53.70370370370371,1.1720385592738785,21.31808822175717,-18.00056172002635,1213.1808822175717,241.54422763500966,BTC
56,37.5,1.060763922536757,4.839294524816478,-19.199672081886195,1048.3929452481648,107.3290182855497,ETH
102,60.78431372549019,0.9445954319384168,-4.875544639251643,-18.7278920731663,951.2445536074836,240.16912918257074,XAUT
41,39.02439024390244,1.0123616834712612,0.7242034947829326,-11.451001150831408,1007.2420349478293,80.12142919055984,SOL
28,32.142857142857146,0.22128668586781625,-30.35397341950602,-30.591252711742044,696.4602658049398,70.06150446390218,SP500/USD
44,50.0,0.692658524495716,-15.355298654262834,-18.83267858038185,846.4470134573717,106.29420354789667,NASDAQ100/USD
6,66.66666666666666,2.276464859052161,6.99854578350637,-2.5091780129056773,1069.9854578350637,14.193264386200127,OIL_BRENT/USD
21,19.047619047619047,0.30849747819450407,-23.745442625923317,-25.105605575934874,762.5455737407668,39.62961612777536,SILVER/USD
22,27.27272727272727,1.0363434583853495,1.3714938210708851,-10.890856797953804,1013.7149382107089,40.621155485490824,HYPE/USD
39,51.28205128205128,0.8648092483040534,-5.4748774463007415,-16.65728487030866,945.2512255369926,77.29799760117493,AAPL/USD
35,57.14285714285714,1.503547314704636,19.881357815838467,-11.034527128765939,1198.8135781583846,80.05414306017582,AMZN/USD
