num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,trades_per_day
107,33.64485981308411,0.6274632031812867,-51.604674362606,-56.735732122733616,-0.3192934276300195,483.95325637394,288.29382291250437,BTC,0,0.4246031746031746
92,42.391304347826086,1.0522908585719202,5.855042956068655,-25.649015796597872,0.05068690282171046,1058.5504295606866,218.32279451025585,ETH,0,0.36507936507936506
81,35.80246913580247,0.5504307912478574,-47.29321866323843,-49.78788902090774,-0.37726066504627565,527.0678133676157,302.81523121481723,XAUT,0,0.32142857142857145
69,56.52173913043478,1.1710248910893306,16.636150504531226,-11.961117199984031,0.13119667379182562,1166.3615050453122,423.22757264614455,SP500/USD,20,0.27710843373493976
85,49.411764705882355,1.0759331037809357,9.362721934014939,-17.14617220537291,0.07225536118871925,1093.6272193401494,451.9166011980782,NASDAQ100/USD,0,0.3413654618473896
46,45.65217391304348,1.2011603284802332,13.650883643701627,-21.446947143918642,0.16100847098480936,1136.5088364370163,124.07986031081391,OIL_BRENT/USD,0,0.3087248322147651
40,52.5,1.2959303207391382,16.119637452917438,-17.305126306179446,0.20668112345976217,1161.1963745291744,133.95627203589623,SILVER/USD,0,0.23255813953488372
115,46.08695652173913,1.3670787906135744,62.350914635310616,-16.913493243400048,0.23271646561530543,1623.5091463531062,244.1605763443097,HYPE/USD,0,0.45634920634920634
61,49.18032786885246,1.0856485429853306,6.953603468004917,-17.559524671179567,0.07546175682891539,1069.5360346800492,267.15034771445005,AAPL/USD,0,0.24696356275303644
85,47.05882352941176,1.049409618343391,7.032145814085311,-35.83043576242845,0.06087917152801999,1070.321458140853,389.36831361224534,AMZN/USD,0,0.3386454183266932
