num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,display_name,trades_per_day,days_analizados
29,41.37931034482759,0.8571992588960343,-4.826261114840599,-14.78600433592213,-0.07073261540723105,951.737388851594,135.0431419707048,NCSKAMZN2USD/USDT:USDT,AMZN/USD,0.3918918918918919,74.0
105,27.61904761904762,0.26586272574235115,-81.39361433355612,-81.92848063259645,-0.779105427674191,186.0638566644388,465.8623949312462,NCSISP5002USD/USDT:USDT,SP500/USD,1.4189855004457792,74.0
197,31.472081218274113,0.6707627726689898,-77.34920899852963,-82.53458494764803,-0.3563794395789299,226.5079100147036,516.8514124358967,HYPE/USDT:USDT,HYPE/USD,2.3177417378160876,85.0
164,44.51219512195122,0.6521864090320143,-59.71699292561459,-61.073423592129735,-0.25649603738402654,402.83007074385415,772.5229029808513,BNB/USDT:USDT,BNB/USD,1.9294905837656768,85.0
193,39.37823834196891,0.710410183341184,-64.84108185154462,-68.2777941843705,-0.25058737641827306,351.5891814845539,800.5668624749801,ETH/USDT:USDT,ETH/USD,2.270680991870583,85.0
129,34.10852713178294,0.451286624855396,-80.46244904877634,-81.11269760066247,-0.6101227081416848,195.37550951223656,575.5058528138227,NCSINASDAQ1002USD/USDT:USDT,NASDAQ100/USD,1.7432432432432432,74.0
