symbol,stop_mode,param,require_pattern,num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct
ADA/USDT:USDT,atr,1.0,False,355,47.32394366197183,1.2806020780161824,217.20308210839852,-24.510385331424946
ADA/USDT:USDT,atr,1.2,False,330,49.09090909090909,1.3400465021903132,249.35425062077115,-25.868347568105882
ADA/USDT:USDT,atr,1.5,False,300,50.0,1.3606997742537972,186.0587848795097,-25.322786000680004
ADA/USDT:USDT,atr,1.8,False,284,50.70422535211267,1.3310710033278068,128.3973126282863,-26.022119191363213
ADA/USDT:USDT,atr,2.0,False,275,50.54545454545455,1.3343160115760357,106.8162050531433,-25.487381887344164
ADA/USDT:USDT,atr,2.5,False,260,51.53846153846153,1.3540863253225703,83.23503332564133,-16.829733073232674
ADA/USDT:USDT,atr,3.0,False,244,52.459016393442624,1.3858266134403834,67.37682311947083,-15.972674960284811
ADA/USDT:USDT,wick,0.0,False,361,45.42936288088642,1.102030748756467,56.17698566136011,-33.52480671758716
ADA/USDT:USDT,wick,0.1,False,356,45.50561797752809,1.106229660994432,70.27366490122185,-39.42184859009861
ADA/USDT:USDT,wick,0.2,False,343,46.647230320699705,1.1638105139560833,112.22381150567007,-26.154086511455706
ADA/USDT:USDT,wick,0.3,False,329,48.328267477203646,1.2480093888063242,155.88245685022935,-24.66117215119048
ADA/USDT:USDT,atr,1.0,True,258,44.18604651162791,1.1427311777083433,58.23603188413197,-25.91063932723668
ADA/USDT:USDT,atr,1.2,True,243,47.325102880658434,1.2553699189088467,106.30100162969143,-22.373916308439274
ADA/USDT:USDT,atr,1.5,True,225,48.888888888888886,1.309716585920861,103.46077100407317,-19.70743284562384
ADA/USDT:USDT,atr,1.8,True,214,48.13084112149533,1.2289835142302923,57.64457701008141,-27.18922464666066
ADA/USDT:USDT,atr,2.0,True,210,47.61904761904761,1.185310277229454,40.05086149319646,-22.2836167797317
ADA/USDT:USDT,atr,2.5,True,198,51.515151515151516,1.2999573455346607,49.722038271018235,-17.747479232255344
ADA/USDT:USDT,atr,3.0,True,189,51.85185185185185,1.3007164404448255,37.88705119961328,-16.13325171660738
ADA/USDT:USDT,wick,0.0,True,252,40.07936507936508,0.9103939605475775,-25.957382367199,-40.00120348491032
ADA/USDT:USDT,wick,0.1,True,247,42.10526315789473,0.9996915330275578,-0.09721772726591098,-39.6263468172491
ADA/USDT:USDT,wick,0.2,True,243,42.79835390946502,1.0122022220936908,3.704693949417697,-33.232984182043595
ADA/USDT:USDT,wick,0.3,True,236,43.64406779661017,1.0650062014492099,19.40947111083317,-29.59543189027527
BNB/USDT:USDT,atr,1.0,False,351,45.58404558404558,0.9989006577004395,-0.5818826664575,-33.503643966279654
BNB/USDT:USDT,atr,1.2,False,323,43.653250773993804,0.9482551191873361,-18.246502850990463,-38.2673398773254
BNB/USDT:USDT,atr,1.5,False,306,44.11764705882353,0.9291949016265096,-21.588784103330134,-32.74483479579533
BNB/USDT:USDT,atr,1.8,False,292,43.83561643835616,0.8993071813557906,-24.327039142814716,-34.605799111975664
BNB/USDT:USDT,atr,2.0,False,288,44.44444444444444,0.9166082954182134,-18.752876043842093,-35.158350648327016
BNB/USDT:USDT,atr,2.5,False,263,45.627376425855516,0.9966818438415922,-0.6412883453252676,-15.511948964807951
BNB/USDT:USDT,atr,3.0,False,248,45.564516129032256,1.0623350203133175,10.016779629629765,-10.614656142442573
BNB/USDT:USDT,wick,0.0,False,339,45.13274336283185,0.9098382755017965,-29.58549134333847,-40.64570713345779
BNB/USDT:USDT,wick,0.1,False,335,45.37313432835821,0.9704759798709157,-10.538222894856574,-34.25200593628713
BNB/USDT:USDT,wick,0.2,False,327,47.40061162079511,1.0872552053045943,33.325362568732956,-28.122847866805124
BNB/USDT:USDT,wick,0.3,False,322,46.273291925465834,1.045341580027969,16.704747603614507,-25.324699251309823
BNB/USDT:USDT,atr,1.0,True,261,47.12643678160919,1.050008845783933,23.832286638599818,-35.53838440195842
BNB/USDT:USDT,atr,1.2,True,248,43.95161290322581,0.9533642457347146,-14.969821943908324,-31.4076658578336
BNB/USDT:USDT,atr,1.5,True,240,44.583333333333336,0.9440159111069655,-15.924642958925016,-33.947799888680755
BNB/USDT:USDT,atr,1.8,True,228,45.17543859649123,0.9275347946244524,-15.736103268738418,-24.975785881032593
BNB/USDT:USDT,atr,2.0,True,226,46.46017699115044,1.0042157021945075,0.8768776847575963,-26.453250592500822
BNB/USDT:USDT,atr,2.5,True,211,46.91943127962085,1.0855539782211658,14.781191109121346,-18.629872811362727
BNB/USDT:USDT,atr,3.0,True,202,47.02970297029702,1.1549098959207098,21.76908868034734,-14.4796717289949
BNB/USDT:USDT,wick,0.0,True,252,47.22222222222222,0.9962255773007193,-1.2249070192214504,-38.14853191830135
BNB/USDT:USDT,wick,0.1,True,249,46.98795180722892,1.0314918889104483,10.414512866678228,-32.26975110908601
BNB/USDT:USDT,wick,0.2,True,243,48.559670781893004,1.1357751233460052,46.113206514390775,-24.78034294924931
BNB/USDT:USDT,wick,0.3,True,240,48.333333333333336,1.125914413169684,42.48526549005921,-25.534472030492132
SOL/USDT:USDT,atr,1.0,False,366,45.3551912568306,1.1052523492630415,109.05197733958347,-44.7908412960005
SOL/USDT:USDT,atr,1.2,False,345,45.79710144927536,1.1634729901034637,148.68709368147566,-30.485115843836507
SOL/USDT:USDT,atr,1.5,False,313,47.6038338658147,1.2237034410058618,118.72567558485156,-29.290232215847105
SOL/USDT:USDT,atr,1.8,False,294,48.97959183673469,1.2755828267435807,115.3224014505717,-33.9284719002734
SOL/USDT:USDT,atr,2.0,False,286,49.3006993006993,1.1903481977125066,67.5293266426019,-32.037416813185715
SOL/USDT:USDT,atr,2.5,False,265,50.56603773584906,1.1713978998804442,44.35004319302586,-22.872478245016055
SOL/USDT:USDT,atr,3.0,False,261,50.191570881226056,1.1541077264270085,32.982665584629764,-20.876820626851117
SOL/USDT:USDT,wick,0.0,False,368,42.391304347826086,0.9446370701854041,-30.48269385291345,-62.86499788106465
SOL/USDT:USDT,wick,0.1,False,355,43.38028169014084,0.9956075074188253,-2.5691810323485926,-50.51367942406212
SOL/USDT:USDT,wick,0.2,False,344,43.895348837209305,1.0436540603895075,25.698841818247363,-40.252860938224
SOL/USDT:USDT,wick,0.3,False,334,44.61077844311377,1.0616152702213102,32.8723321339834,-37.48430971886147
SOL/USDT:USDT,atr,1.0,True,247,43.7246963562753,1.0677083452103147,32.115455186524876,-40.10618550565556
SOL/USDT:USDT,atr,1.2,True,236,45.33898305084746,1.1622709058293006,70.06675211451883,-25.907700012464048
SOL/USDT:USDT,atr,1.5,True,223,45.73991031390135,1.1486754911250652,41.63118807432888,-22.82020701002172
SOL/USDT:USDT,atr,1.8,True,212,48.113207547169814,1.1819723392671493,45.86927357462996,-29.32269793869614
SOL/USDT:USDT,atr,2.0,True,208,49.03846153846153,1.1492846402597725,33.9742640303074,-26.891410651051515
SOL/USDT:USDT,atr,2.5,True,198,50.505050505050505,1.1847790124719504,33.6232681428372,-18.72687178419528
SOL/USDT:USDT,atr,3.0,True,194,51.03092783505154,1.276053711585152,42.16299265144746,-18.62484705813379
SOL/USDT:USDT,wick,0.0,True,241,42.738589211618255,0.9657277215810577,-12.58932662047779,-47.98075695537642
SOL/USDT:USDT,wick,0.1,True,237,42.19409282700422,0.9622823413359148,-12.94009881702417,-45.56979518913569
SOL/USDT:USDT,wick,0.2,True,231,43.722943722943725,1.0498498196532486,16.84308098895699,-31.108462883934106
SOL/USDT:USDT,wick,0.3,True,228,44.29824561403509,1.0677548583188523,21.827761614066162,-25.17509954416538
