symbol,strategy,direction,entry_datetime,exit_datetime,exit_reason,pnl_net,r_multiple,capital_after
XAUT/USDT:USDT,v1_sniper,short,2025-11-23 16:45:00+00:00,2025-11-23 23:00:00+00:00,stop_loss,-3.211674149835966,-1.605837074917983,96.78832585016403
NCSKAMZN2USD/USDT:USDT,v1_sniper,long,2025-11-24 08:30:00+00:00,2025-11-24 09:15:00+00:00,stop_loss,-2.444331027038792,-1.222165513519396,94.34399482312524
ETH/USDT:USDT,v1_sniper,short,2025-11-24 09:15:00+00:00,2025-11-24 14:30:00+00:00,stop_loss,-2.211919426117934,-1.105959713058967,92.13207539700731
NCSKAMZN2USD/USDT:USDT,v1_sniper,short,2025-11-24 09:30:00+00:00,2025-11-24 14:30:00+00:00,stop_loss,-2.475821754229785,-1.2379108771148926,89.65625364277753
SOL/USDT:USDT,v1_sniper,long,2025-11-24 15:45:00+00:00,2025-11-24 17:15:00+00:00,take_profit,3.826275192753075,1.9131375963765376,93.4825288355306
NCSKAMZN2USD/USDT:USDT,v1_sniper,short,2025-11-25 13:45:00+00:00,2025-11-25 14:30:00+00:00,take_profit,3.3694454940420115,1.6847227470210058,96.85197432957261
HYPE/USDT:USDT,v1_sniper,short,2025-11-26 09:30:00+00:00,2025-11-26 10:00:00+00:00,take_profit,3.7343074427588987,1.8671537213794493,100.58628177233152
SOL/USDT:USDT,v1_sniper,short,2025-11-26 08:15:00+00:00,2025-11-26 12:00:00+00:00,take_profit,3.7677368476740116,1.8838684238370058,104.35401862000553
NCSKAMZN2USD/USDT:USDT,v1_sniper,short,2025-11-26 14:15:00+00:00,2025-11-26 14:30:00+00:00,take_profit,3.308268963631389,1.6541344818156944,107.66228758363692
BNB/USDT:USDT,v1_sniper,long,2025-11-26 13:45:00+00:00,2025-11-26 16:45:00+00:00,take_profit,3.6649585707387824,1.8324792853693912,111.3272461543757
ETH/USDT:USDT,v1_sniper,short,2025-11-26 08:00:00+00:00,2025-11-26 17:15:00+00:00,stop_loss,-2.208602714736114,-1.104301357368057,109.11864343963958
XAUT/USDT:USDT,v1_sniper,long,2025-11-26 23:00:00+00:00,2025-11-27 01:00:00+00:00,stop_loss,-3.1772251855677967,-1.5886125927838983,105.94141825407179
ADA/USDT:USDT,v1_sniper,short,2025-11-27 08:00:00+00:00,2025-11-27 09:30:00+00:00,stop_loss,-2.263430085526478,-1.131715042763239,103.67798816854531
ETH/USDT:USDT,v1_sniper,short,2025-11-27 08:00:00+00:00,2025-11-27 09:30:00+00:00,stop_loss,-2.3814394722273518,-1.1907197361136759,101.29654869631796
BNB/USDT:USDT,v1_sniper,short,2025-11-27 08:00:00+00:00,2025-11-27 18:30:00+00:00,stop_loss,-2.37258627395345,-1.186293136976725,98.92396242236451
ADA/USDT:USDT,v1_sniper,long,2025-11-28 08:15:00+00:00,2025-11-28 08:45:00+00:00,take_profit,3.7449240379192563,1.8724620189596282,102.66888646028377
SOL/USDT:USDT,v1_sniper,long,2025-11-28 08:45:00+00:00,2025-11-28 09:00:00+00:00,take_profit,3.596940297215426,1.798470148607713,106.2658267574992
BNB/USDT:USDT,v1_sniper,long,2025-11-28 13:30:00+00:00,2025-11-28 13:45:00+00:00,take_profit,3.5192270059167137,1.7596135029583568,109.78505376341592
HYPE/USDT:USDT,v1_sniper,long,2025-11-28 10:00:00+00:00,2025-11-28 14:00:00+00:00,take_profit,3.8042985846153776,1.9021492923076888,113.5893523480313
SOL/USDT:USDT,v1_sniper,short,2025-11-28 15:45:00+00:00,2025-11-28 16:15:00+00:00,take_profit,3.750476874553248,1.875238437276624,117.33982922258454
