mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,total_trades,symbols_profitable,symbols_total,pnl_net_total,avg_profit_factor,win_rate_weighted,max_drawdown_worst_pct
reversal,75,20,False,False,False,False,2.0,788,0,10,-3084.41,0.6,36.9,-75.08013451958193
reversal,75,20,False,False,False,True,2.0,143,2,10,-774.88,0.51,35.7,-25.829174657589636
reversal,75,20,False,False,True,False,2.0,451,1,10,-1839.44,0.63,37.0,-58.99805333758984
reversal,75,20,False,False,True,True,2.0,94,3,10,-308.33,0.84,40.4,-19.126101563264456
reversal,75,20,False,True,False,False,2.0,619,0,10,-2698.4,0.58,35.9,-67.1752848721751
reversal,75,20,False,True,False,True,2.0,98,2,10,-573.22,0.51,34.7,-21.089323702967786
reversal,75,20,False,True,True,False,2.0,319,1,10,-1424.01,0.62,36.1,-45.69799754705407
reversal,75,20,False,True,True,True,2.0,56,2,10,-218.14,0.79,39.3,-13.957893943358604
reversal,75,20,True,False,False,False,2.0,652,0,10,-2798.95,0.59,36.3,-68.63059180107257
reversal,75,20,True,False,False,True,2.0,135,2,10,-810.9,0.48,34.1,-27.89478221928598
reversal,75,20,True,False,True,False,2.0,400,1,10,-1814.08,0.61,36.2,-52.2187785910585
reversal,75,20,True,False,True,True,2.0,90,3,10,-319.42,0.8,40.0,-19.126101563264456
reversal,75,20,True,True,False,False,2.0,484,0,10,-2293.15,0.58,35.1,-58.64647377275974
reversal,75,20,True,True,False,True,2.0,90,1,10,-601.66,0.47,32.2,-23.286932923375385
reversal,75,20,True,True,True,False,2.0,269,1,10,-1356.34,0.6,34.9,-37.61354744985116
reversal,75,20,True,True,True,True,2.0,52,2,10,-222.89,0.74,38.5,-13.957893943358604
reversal,75,25,False,False,False,False,2.0,1076,0,10,-4017.48,0.59,36.5,-80.58596706986256
reversal,75,25,False,False,False,True,2.0,201,2,10,-1073.56,0.53,35.3,-29.131136901054205
reversal,75,25,False,False,True,False,2.0,626,0,10,-2654.87,0.59,36.1,-62.15544934532955
reversal,75,25,False,False,True,True,2.0,127,3,10,-612.65,0.77,37.8,-25.125572035652066
reversal,75,25,False,True,False,False,2.0,870,0,10,-3233.03,0.61,36.9,-72.6061859218361
reversal,75,25,False,True,False,True,2.0,147,1,10,-686.01,0.58,36.7,-20.516717252127627
reversal,75,25,False,True,True,False,2.0,468,1,10,-1844.43,0.63,37.0,-49.84741414985036
reversal,75,25,False,True,True,True,2.0,81,3,10,-316.74,0.78,40.7,-16.116054981936305
reversal,75,25,True,False,False,False,2.0,903,0,10,-3733.74,0.57,35.8,-73.81960682496056
reversal,75,25,True,False,False,True,2.0,188,2,10,-1115.81,0.49,34.0,-27.311714949884834
reversal,75,25,True,False,True,False,2.0,555,0,10,-2483.36,0.59,35.9,-54.02749059990663
reversal,75,25,True,False,True,True,2.0,122,3,10,-606.6,0.74,37.7,-23.190544000669536
reversal,75,25,True,True,False,False,2.0,698,0,10,-2870.04,0.58,36.1,-63.05863775388243
reversal,75,25,True,True,False,True,2.0,135,1,10,-738.53,0.53,34.8,-20.823199921509225
reversal,75,25,True,True,True,False,2.0,399,0,10,-1631.16,0.64,36.8,-40.23755562823329
reversal,75,25,True,True,True,True,2.0,77,3,10,-321.66,0.75,40.3,-16.116054981936305
reversal,75,30,False,False,False,False,2.0,1604,0,10,-5398.29,0.57,36.2,-91.24298038152837
reversal,75,30,False,False,False,True,2.0,315,1,10,-1962.06,0.44,31.7,-47.491679405626776
reversal,75,30,False,False,True,False,2.0,945,1,10,-3557.1,0.57,36.1,-83.8986110365773
reversal,75,30,False,False,True,True,2.0,192,2,10,-1138.56,0.56,34.4,-34.358524296680876
reversal,75,30,False,True,False,False,2.0,1333,0,10,-4711.07,0.57,36.7,-83.34413918742833
reversal,75,30,False,True,False,True,2.0,248,1,10,-1533.73,0.46,32.7,-44.57212583007406
reversal,75,30,False,True,True,False,2.0,728,1,10,-2682.52,0.61,37.1,-71.33911200894173
reversal,75,30,False,True,True,True,2.0,137,3,10,-772.96,0.63,36.5,-26.686875467247933
reversal,75,30,True,False,False,False,2.0,1319,0,10,-4876.19,0.56,35.7,-88.36485754165199
reversal,75,30,True,False,False,True,2.0,282,1,10,-1807.07,0.43,31.2,-44.50288451695491
reversal,75,30,True,False,True,False,2.0,819,1,10,-3270.27,0.58,35.5,-80.43222423818624
reversal,75,30,True,False,True,True,2.0,176,2,10,-1095.86,0.54,33.5,-32.662109389791325
reversal,75,30,True,True,False,False,2.0,1050,0,10,-3964.04,0.57,36.5,-77.85361883392832
reversal,75,30,True,True,False,True,2.0,215,1,10,-1366.95,0.46,32.1,-41.41714876865242
reversal,75,30,True,True,True,False,2.0,604,2,10,-2302.13,0.63,36.8,-64.49001433747324
reversal,75,30,True,True,True,True,2.0,121,3,10,-723.21,0.61,35.5,-23.79911740994916
