symbol,rr_ratio,num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,trades_per_day,days_analizados,total_fees
BTC,1.5,15,60.0,1.2309338833395629,3.756290787553303,-6.187144292551388,0.1376007337195841,0.1497504159733777,100.2,79.16935886145124
BTC,2.0,15,46.666666666666664,0.898587918000483,-2.051019164114314,-9.163396281435233,-0.051107910844964105,0.1497504159733777,100.2,75.31111481466795
BTC,2.3,15,40.0,0.7850763938114571,-5.036449340917351,-9.157521344119335,-0.15112851912605108,0.1497504159733777,100.2,76.51660050502889
BTC,2.5,14,35.714285714285715,0.7320995264092358,-5.767829582984336,-9.799396950301638,-0.191529871279793,0.13976705490848584,100.2,71.24979340549602
ETH,1.5,13,38.46153846153847,0.6647778724440728,-6.3470810229689505,-11.642242084139912,-0.23658618334791043,0.1297971918876755,100.2,52.5305491031062
ETH,2.0,13,38.46153846153847,0.8857052020903214,-2.2348345310620856,-10.774687531162302,-0.06648926438276141,0.1297971918876755,100.2,54.170967115157055
ETH,2.3,13,38.46153846153847,1.0027657520689917,0.05501167303887086,-10.25415479937576,0.025850735617238316,0.1297971918876755,100.2,55.0627526155733
ETH,2.5,13,38.46153846153847,1.079719848773999,1.6037643425152057,-9.907132978184764,0.08741073561723775,0.1297971918876755,100.2,55.664107583107565
XAUT,1.5,18,66.66666666666666,1.1837990311233153,3.1820509991171324,-6.88254057311071,0.09900720416323919,0.1797191887675507,100.2,138.18504949144653
XAUT,2.0,18,61.111111111111114,1.2220749372821185,4.561699411641484,-6.223248432623682,0.14067994242992443,0.1797191887675507,100.2,139.99694581819386
XAUT,2.3,18,61.111111111111114,1.421545758399649,8.905607004175977,-6.223248432623688,0.25742827576325716,0.1797191887675507,100.2,143.1560365117783
XAUT,2.5,18,55.55555555555556,1.1803239132644454,4.355604423496084,-8.379250631263577,0.14067994242992526,0.1797191887675507,100.2,142.17627188898692
SP500/USD,1.5,14,28.57142857142857,0.13141950186363935,-23.316630285264093,-24.916823710239907,-0.9290529159256742,0.13978159126365056,100.2,151.31875878330172
SP500/USD,2.0,14,28.57142857142857,0.25731299385538037,-20.293341540214875,-23.439839589238147,-0.7888306876606759,0.13978159126365056,100.2,153.78111464597055
SP500/USD,2.3,14,21.428571428571427,0.21844694301754625,-23.676451582193533,-27.522202916781012,-0.9405766364159529,0.13978159126365056,100.2,152.53238820996467
SP500/USD,2.5,14,21.428571428571427,0.251768270985021,-22.80219530667031,-27.24561054736132,-0.8987834593956633,0.13978159126365056,100.2,153.34490710879757
NASDAQ100/USD,1.5,17,29.411764705882355,0.281272724204377,-23.770595550398323,-23.770595550398323,-0.7786101773572573,0.16973478939157566,100.2,127.00989168081549
NASDAQ100/USD,2.0,17,23.52941176470588,0.30050192297761713,-24.604166851641594,-24.94318399490724,-0.8081660597101952,0.16973478939157566,100.2,125.59995832995519
NASDAQ100/USD,2.3,17,23.52941176470588,0.33924094165813284,-23.449645546117313,-24.234371494819268,-0.7621111448083034,0.16973478939157566,100.2,126.7041301234349
NASDAQ100/USD,2.5,17,23.52941176470588,0.36891249226753464,-22.557414882537692,-23.645537094050606,-0.7268252624553565,0.16973478939157566,100.2,127.58992609299504
OIL_BRENT/USD,1.5,16,37.5,0.5842080521957761,-8.957926168582276,-9.51236771745215,-0.2797529976278781,0.15975039001560062,100.2,46.81621394601629
OIL_BRENT/USD,2.0,16,37.5,0.7795641845342588,-4.881665194983429,-9.51236771745214,-0.13868764570751252,0.15975039001560062,100.2,47.94925169087698
