min_swing_percentile,tp_rr_ratio,total_trades,avg_win_rate,avg_pf,avg_return_pct,pct_symbols_profitable
0,1.5,807,50.960005602364944,0.9811265681792607,-4.71048112494704,40.0
0,2.0,803,45.44759325828946,1.0276603871160126,1.8719033158226854,70.0
0,2.5,799,41.13370142553204,1.0329139489918782,2.4139354257050334,70.0
0,3.0,795,37.80416501521309,1.0043575794927047,-1.9693133564820378,50.0
30,1.5,552,49.85770906229516,0.991404944143288,-4.052833331440183,50.0
30,2.0,549,44.42284293176111,1.0638831992454063,3.7501732261859297,60.0
30,2.5,548,40.202612519047065,1.0806076273656573,4.14769419432876,60.0
30,3.0,546,36.42112320302704,1.0274795851715133,-1.3042327571364478,60.0
50,1.5,368,50.65962856981828,1.0814365790647016,0.016860651041648644,50.0
50,2.0,365,44.31666524822195,1.1422273491319035,4.555378747954192,50.0
50,2.5,364,40.04684062823769,1.153122219091647,7.466775333125275,50.0
50,3.0,362,36.17851124799998,1.1107727290567277,5.092780143135885,60.0
70,1.5,211,55.98629928219177,1.5990513439917584,6.06545833528679,60.0
70,2.0,210,49.33667887584679,1.6783567168077114,7.888432819849655,60.0
70,2.5,209,43.91715786712039,1.5529240167005232,8.977636040293143,70.0
70,3.0,209,40.572169522132036,1.5621795348431646,10.072255833545473,70.0
