combo_id,symbol,mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,num_trades,win_rate,profit_factor,pnl_net_total,max_drawdown_pct
1,BTC,reversal,75,30,True,True,True,True,2.0,19,52.63157894736842,1.2787610513894818,57.21047302927764,-4.50199973025211
1,ETH,reversal,75,30,True,True,True,True,2.0,13,61.53846153846154,1.6372732566205848,81.6537730463715,-6.739912155543178
1,XAUT,reversal,75,30,True,True,True,True,2.0,18,27.77777777777778,0.3169057930464979,-220.54569995016675,-22.054569995016678
1,SP500/USD,reversal,75,30,True,True,True,True,2.0,10,30.0,0.25529056820324403,-110.6080113943716,-12.256987349212512
1,NASDAQ100/USD,reversal,75,30,True,True,True,True,2.0,8,50.0,1.334439718706138,28.87746038786031,-7.397125608214464
1,OIL_BRENT/USD,reversal,75,30,True,True,True,True,2.0,6,33.33333333333333,0.47269670543462805,-46.92821164321356,-6.610801783878811
1,SILVER/USD,reversal,75,30,True,True,True,True,2.0,12,33.33333333333333,0.38159894342062245,-117.92591813269144,-15.980363518877983
1,HYPE,reversal,75,30,True,True,True,True,2.0,24,25.0,0.24204550827539323,-230.14759884462615,-23.79911740994916
1,AAPL/USD,reversal,75,30,True,True,True,True,2.0,2,0.0,0.0,-52.002540013232874,-5.200254001323287
1,AMZN/USD,reversal,75,30,True,True,True,True,2.0,9,11.11111111111111,0.19543266626176195,-112.79159865353927,-11.279159865353927
2,BTC,reversal,75,30,True,True,True,False,2.0,91,42.857142857142854,0.9119530810673722,-91.40068587641917,-21.40714796334054
2,ETH,reversal,75,30,True,True,True,False,2.0,84,48.80952380952381,1.081375676665429,71.2919918901066,-14.969351967284904
2,XAUT,reversal,75,30,True,True,True,False,2.0,108,28.703703703703702,0.40126815113158665,-640.7326295837004,-64.49001433747324
2,SP500/USD,reversal,75,30,True,True,True,False,2.0,30,33.33333333333333,0.24370036691678904,-314.3825802124983,-31.438258021249826
2,NASDAQ100/USD,reversal,75,30,True,True,True,False,2.0,34,47.05882352941176,1.0373033080158731,14.044944974965233,-13.484157139522058
2,OIL_BRENT/USD,reversal,75,30,True,True,True,False,2.0,31,41.935483870967744,0.8242570053238418,-55.5415308533303,-12.592788720860526
2,SILVER/USD,reversal,75,30,True,True,True,False,2.0,62,30.64516129032258,0.5386666911469821,-380.130709340771,-45.64003576866551
2,HYPE,reversal,75,30,True,True,True,False,2.0,88,39.77272727272727,0.7331851363082575,-228.28923828324434,-24.289656410508357
2,AAPL/USD,reversal,75,30,True,True,True,False,2.0,33,12.121212121212121,0.16603315117982506,-382.60004936794996,-38.26000493679499
2,AMZN/USD,reversal,75,30,True,True,True,False,2.0,43,32.55813953488372,0.3914000635810141,-294.39324184153645,-32.9927818457969
3,BTC,reversal,75,30,True,True,False,True,2.0,31,45.16129032258064,0.9331816046152906,-23.274354387863923,-9.77476171926671
3,ETH,reversal,75,30,True,True,False,True,2.0,36,41.66666666666667,1.1035554704685888,39.2371704360653,-8.414820558707648
3,XAUT,reversal,75,30,True,True,False,True,2.0,30,33.33333333333333,0.40709780162425446,-265.0718823814327,-26.50718823814327
3,SP500/USD,reversal,75,30,True,True,False,True,2.0,15,40.0,0.4568023230007148,-101.15203272806116,-12.700963056780152
3,NASDAQ100/USD,reversal,75,30,True,True,False,True,2.0,19,26.31578947368421,0.4629620630178191,-133.72568359969785,-17.78282132156267
3,OIL_BRENT/USD,reversal,75,30,True,True,False,True,2.0,9,22.22222222222222,0.32479371342468455,-87.45506309516293,-10.581929887299866
3,SILVER/USD,reversal,75,30,True,True,False,True,2.0,12,33.33333333333333,0.38159894342062245,-117.92591813269144,-15.980363518877983
3,HYPE,reversal,75,30,True,True,False,True,2.0,42,21.428571428571427,0.21633681608401165,-408.1413868968824,-41.41714876865242
3,AAPL/USD,reversal,75,30,True,True,False,True,2.0,8,37.5,0.15691455897305145,-83.90055323159231,-8.977644810591096
3,AMZN/USD,reversal,75,30,True,True,False,True,2.0,13,7.6923076923076925,0.12600379254734864,-185.5389153504916,-18.55389153504916
4,BTC,reversal,75,30,True,True,False,False,2.0,173,42.19653179190752,0.7928350701359813,-340.5684794720397,-41.13685467934183
