rr_ratio,total_trades,win_rate,profit_factor,pnl_net_total,symbols_profitable
2.5,147,35.4,0.71,-700.38,2/10
2.3,148,36.5,0.7,-710.64,2/10
2.0,148,38.5,0.66,-775.79,1/10
1.5,151,44.4,0.64,-778.23,2/10
