symbol,rr_ratio,num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,trades_per_day,days_analizados,total_fees
BTC,1.0,348,57.758620689655174,0.9391862590438531,-16.506188569435707,-34.693740915296964,-0.017434218377322917,0.6362459053858459,547.0,948.7437505868502
BTC,1.3,341,53.0791788856305,1.03232943584157,10.194754135338211,-35.87972207393668,0.02515502808389124,0.6234478555648663,547.0,1000.6804027280488
BTC,1.5,337,50.74183976261127,1.0393260768802686,13.112031425564396,-33.45764453039744,0.0303876182394337,0.6161346842385922,547.0,1018.1439371886308
BTC,1.8,331,48.6404833836858,1.1036770000905987,36.008211847818096,-33.03820969342065,0.06066477404770282,0.605164927249181,547.0,1032.8840458842442
BTC,2.0,327,47.40061162079511,1.1273318876510656,47.1888270561697,-31.620366336066585,0.07451638644902513,0.597851755922907,547.0,1090.374237693599
ETH,1.0,364,57.96703296703297,1.09991820786107,40.932015428081606,-29.040112963235785,0.055537822761486354,0.6654985906909423,547.0,947.0386240045383
ETH,1.3,357,54.90196078431373,1.1669330174136692,82.95055160400098,-29.61774074474284,0.09535292962320793,0.6527005408699627,547.0,1074.526346730032
ETH,1.5,356,53.08988764044944,1.2052341961669668,102.98623140192451,-20.59491554008969,0.11169137558359625,0.650872248038394,547.0,1048.1285048482118
ETH,1.8,351,52.13675213675214,1.271046189437462,157.89466564680257,-27.299012830837615,0.14917665756688278,0.6417307838805515,547.0,1213.6074748248811
ETH,2.0,347,51.008645533141205,1.3040151613261919,166.27934785096636,-26.354330859352654,0.15635822589085416,0.6344176125542774,547.0,1137.6417463332746
XAUT,1.0,321,44.85981308411215,0.3922008250191664,-91.94723263974568,-92.11571892616553,-0.38183638532461706,0.6342306742405532,506.1,921.1729353643149
XAUT,1.3,317,44.479495268138805,0.5078970381716628,-87.44109868233356,-87.91635232220204,-0.3150315712669009,0.6263274882687083,506.1,1040.9355650023824
XAUT,1.5,316,42.08860759493671,0.5176908176341193,-87.89388889552131,-88.29859980996507,-0.320790418787321,0.6243516917757471,506.1,1010.8357760362411
XAUT,1.8,314,41.082802547770704,0.5768628229775894,-85.57569812129616,-86.22017214508116,-0.2932586098199734,0.6204000987898246,506.1,1089.4811195778498
XAUT,2.0,314,42.038216560509554,0.6238985851878515,-83.05540841349736,-83.93772361455217,-0.2666607003267248,0.6204000987898246,506.1,1182.3954638592186
SP500/USD,1.0,143,56.64335664335665,0.4860188865008697,-54.96524124941096,-54.96524124941096,-0.26965554777078415,0.5308584686774942,269.4,717.25484267078
SP500/USD,1.3,143,50.349650349650354,0.553407364679253,-57.151819970094884,-57.50023507401043,-0.28450190261741787,0.5308584686774942,269.4,755.6991247612024
SP500/USD,1.5,142,47.88732394366197,0.5686754479799738,-58.27285545451082,-59.097890707186,-0.29489306375669055,0.5271461716937355,269.4,762.9657226924344
SP500/USD,1.8,140,47.14285714285714,0.6029827659518633,-56.04036614047657,-56.754380349074964,-0.2793043274011234,0.5197215777262181,269.4,777.9688044429929
SP500/USD,2.0,138,47.10144927536232,0.6379738767773037,-53.105703696995356,-54.04665717339995,-0.25929133752686356,0.5122969837587007,269.4,804.2792524424099
NASDAQ100/USD,1.0,148,50.0,0.5155740151767758,-54.91881339579064,-56.41921819835063,-0.2599212646301623,0.5494199535962877,269.4,555.7759827047664
NASDAQ100/USD,1.3,146,40.41095890410959,0.4864078821432688,-64.36051165453989,-66.15253328403445,-0.341426083272328,0.5419953596287703,269.4,514.6373086858689
NASDAQ100/USD,1.5,145,39.310344827586206,0.5214275801348488,-63.30698826785647,-65.55972412239684,-0.3327692142363154,0.5382830626450116,269.4,527.3327788462013
NASDAQ100/USD,1.8,143,36.36363636363637,0.5355346406223865,-63.944137869982384,-66.13023638667174,-0.34246431598373744,0.5308584686774942,269.4,527.9492591366765
NASDAQ100/USD,2.0,142,35.2112676056338,0.5097783311016607,-67.09819969522019,-69.33232072341946,-0.37672354878772113,0.5271461716937355,269.4,510.6958926258091
OIL_BRENT/USD,1.0,94,52.12765957446809,0.8631929029225667,-12.54670032695276,-21.877393642459598,-0.0625167490727599,0.5542997542997543,169.6,185.3976399596785
OIL_BRENT/USD,1.3,93,49.46236559139785,0.9775591381545649,-2.2379548236516484,-19.071094729480308,-0.0009483390603893392,0.5484029484029483,169.6,189.55203865069547
OIL_BRENT/USD,1.5,91,48.35164835164835,1.0299184943015123,3.2087242009369445,-21.187772931105265,0.030092640893414277,0.5366093366093366,169.6,199.8001108936418
OIL_BRENT/USD,1.8,90,47.77777777777778,1.0360836016138697,4.0459731013238525,-22.79476568861365,0.0360984478677516,0.5307125307125307,169.6,204.93122709689416
OIL_BRENT/USD,2.0,89,46.06741573033708,0.9840905339695801,-1.8523765982857072,-26.134232583504584,0.004590406242462205,0.5248157248157248,169.6,201.2998311502417
SILVER/USD,1.0,129,46.51162790697674,0.5957192681326869,-45.31208068225892,-49.11726438352152,-0.22345740883484125,0.6707105719237435,192.3,407.33698375950405
SILVER/USD,1.3,129,45.73643410852713,0.7322568654730023,-33.93209118393256,-40.54660579114009,-0.14808265445708346,0.6707105719237435,192.3,451.49969089413054
SILVER/USD,1.5,127,43.30708661417323,0.774281318730461,-29.439466825610598,-35.24041537037558,-0.12270569563629842,0.6603119584055459,192.3,439.97710580496687
SILVER/USD,1.8,126,42.06349206349206,0.8671842700128617,-18.19969247819164,-37.92212681005145,-0.062438243281054594,0.655112651646447,192.3,451.12090195569095
SILVER/USD,2.0,126,42.857142857142854,0.9210815694564516,-10.956511615209264,-40.093365775224505,-0.02743760178976306,0.655112651646447,192.3,457.995782742976
HYPE,1.0,337,59.34718100890207,1.2847144930302634,141.5205328794493,-17.558968638456687,0.13938516754841504,0.5513292433537832,611.2,641.0275298139637
HYPE,1.3,332,53.6144578313253,1.294957717439228,168.90328682659597,-21.52347468051095,0.16000686629914246,0.5431492842535788,611.2,673.8889005597043
HYPE,1.5,330,51.21212121212121,1.234017089506031,135.3839391028639,-20.77437582507342,0.14168986966935201,0.5398773006134969,611.2,643.6056995795439
HYPE,1.8,327,49.54128440366973,1.291013540946353,189.5526333121758,-22.096472822613894,0.17677621669048352,0.5349693251533743,611.2,710.9829865044651
HYPE,2.0,326,49.079754601226995,1.2929495020102053,197.03488288936154,-23.15735373140849,0.18197982604255875,0.5333333333333333,611.2,728.6719925518516
AAPL/USD,1.0,191,51.30890052356021,0.5600807665829354,-59.83568792031049,-63.7120497671927,-0.2298123161506374,0.6765053128689493,282.3,613.2737403684337
AAPL/USD,1.3,188,48.40425531914894,0.6970010050331281,-47.917262463798735,-55.52540668792767,-0.1627194889762744,0.6658795749704841,282.3,683.9841679053106
