num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,use_trend_filter,ema_filter,trades_per_day
107,33.64485981308411,0.6274632031812867,-51.604674362606,-56.735732122733616,-0.3192934276300195,483.95325637394,288.29382291250437,BTC/USDT:USDT,0,False,none,0.4246031746031746
70,40.0,0.8401029417847021,-16.2210603749043,-39.45441793850568,-0.10713692766894102,837.789396250957,206.71521825728152,BTC/USDT:USDT,0,False,ema_only,0.2777777777777778
42,40.476190476190474,0.9472495028948462,-3.0411017571096184,-25.669447324623064,-0.01721854450560391,969.5889824289038,107.47811540201747,BTC/USDT:USDT,0,False,ema_t,0.16666666666666666
11,36.36363636363637,0.8405144083837222,-2.482566168854714,-7.15062295729825,-0.09562376428099442,975.1743383114529,36.001879573981725,BTC/USDT:USDT,0,True,none,0.04365079365079365
9,22.22222222222222,0.4293814820789812,-8.529246197371162,-8.529246197371162,-0.47829672589361777,914.7075380262884,25.567227956341583,BTC/USDT:USDT,0,True,ema_only,0.03571428571428571
6,33.33333333333333,0.8888533637367981,-0.8355785540885449,-2.7463202535048254,-0.05347205336085614,991.6442144591146,14.01309710862012,BTC/USDT:USDT,0,True,ema_t,0.023809523809523808
81,32.098765432098766,0.6108377315252165,-43.68286609210939,-47.28978202187577,-0.334378608362713,563.171339078906,207.50116633502282,BTC/USDT:USDT,20,False,none,0.32142857142857145
52,36.53846153846153,0.7691175395173019,-17.871439506467514,-33.66298093299259,-0.1697949732791846,821.2856049353248,131.95593885749852,BTC/USDT:USDT,20,False,ema_only,0.20634920634920634
32,40.625,0.9374015919506677,-2.8273061039367686,-24.03835226773499,-0.025258490122577998,971.7269389606323,74.61534789460956,BTC/USDT:USDT,20,False,ema_t,0.12698412698412698
5,20.0,0.3671875744996466,-5.7186064238928225,-6.6883798216134664,-0.5717405852344111,942.8139357610718,10.537355609757387,BTC/USDT:USDT,20,True,none,0.01984126984126984
4,0.0,0.0,-8.956167621953478,-8.956167621953478,-1.1591815692115577,910.4383237804652,7.812358068488513,BTC/USDT:USDT,20,True,ema_only,0.015873015873015872
3,0.0,0.0,-6.711468592674021,-6.711468592674021,-1.1445438097928793,932.8853140732598,5.357517498304238,BTC/USDT:USDT,20,True,ema_t,0.011904761904761904
72,29.166666666666668,0.5536603659860837,-47.02303689393191,-50.416026538086186,-0.42141815509561703,529.7696310606809,183.23544381315975,BTC/USDT:USDT,30,False,none,0.2857142857142857
46,36.95652173913043,0.7862201475269297,-14.979857614844583,-30.210461401271505,-0.15699791925496462,850.2014238515542,116.64868999860992,BTC/USDT:USDT,30,False,ema_only,0.18253968253968253
29,37.93103448275862,0.8360636786340631,-7.041845104281731,-22.253820503280085,-0.1067753037225443,929.5815489571827,66.02136812345405,BTC/USDT:USDT,30,False,ema_t,0.11507936507936507
4,25.0,0.49220711704522124,-3.5036973657501447,-4.496253200190108,-0.42775942002667294,964.9630263424986,8.867548008342155,BTC/USDT:USDT,30,True,none,0.015873015873015872
3,0.0,0.0,-6.817317087681533,-6.817317087681533,-1.1630203435936224,931.8268291231847,6.078533363500233,BTC/USDT:USDT,30,True,ema_only,0.011904761904761904
2,0.0,0.0,-4.519884385042223,-4.519884385042223,-1.1429830916566373,954.8011561495778,3.580945091131506,BTC/USDT:USDT,30,True,ema_t,0.007936507936507936
57,31.57894736842105,0.6133532953697671,-34.30813430469118,-40.76989672397976,-0.3490989738234323,656.9186569530882,155.92322719346177,BTC/USDT:USDT,40,False,none,0.2261904761904762
35,42.857142857142854,0.9811403594750913,-0.9890304500393995,-21.404917951052287,0.005680246199612598,990.109695499606,93.55002802870652,BTC/USDT:USDT,40,False,ema_only,0.1388888888888889
21,47.61904761904761,1.2153678602991531,6.033491017911888,-14.434351984438587,0.15952171024126074,1060.3349101791189,50.46604239379013,BTC/USDT:USDT,40,False,ema_t,0.08333333333333333
3,33.33333333333333,0.7553306467694324,-1.100095362451384,-4.496253200190108,-0.16528955347528598,988.9990463754862,6.160238394724944,BTC/USDT:USDT,40,True,none,0.011904761904761904
2,0.0,0.0,-4.496253200190108,-4.496253200190108,-1.136946005550017,955.0374679980989,3.46419098576831,BTC/USDT:USDT,40,True,ema_only,0.007936507936507936
1,0.0,0.0,-2.1415943272648863,-2.1415943272648863,-1.0707971636324407,978.5840567273511,0.9021457189583644,BTC/USDT:USDT,40,True,ema_t,0.003968253968253968
41,24.390243902439025,0.4634836610638623,-35.37171237504537,-37.920198023811054,-0.513312545021391,646.2828762495463,103.75192221938565,BTC/USDT:USDT,50,False,none,0.1626984126984127
28,32.142857142857146,0.6844502448316445,-13.908178348369562,-21.404917951052273,-0.2476825470364883,860.9182165163044,70.34982348698863,BTC/USDT:USDT,50,False,ema_only,0.1111111111111111
16,37.5,0.9541355643612707,-1.102881864493213,-14.434351984438583,-0.013413118777785615,988.9711813550679,39.87704373170203,BTC/USDT:USDT,50,False,ema_t,0.06349206349206349
1,0.0,0.0,-2.406189694935188,-2.406189694935188,-1.203094847467593,975.9381030506481,2.5837526041328207,BTC/USDT:USDT,50,True,none,0.003968253968253968
1,0.0,0.0,-2.406189694935188,-2.406189694935188,-1.203094847467593,975.9381030506481,2.5837526041328207,BTC/USDT:USDT,50,True,ema_only,0.003968253968253968
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,50,True,ema_t,0.0
33,24.242424242424242,0.4556646428432202,-29.151883929545473,-30.41758314477889,-0.5036156121112647,708.4811607045452,78.95568138146169,BTC/USDT:USDT,60,False,none,0.13095238095238096
23,34.78260869565217,0.7746669883370308,-7.723796510290935,-12.906584493846488,-0.15511973409524454,922.7620348970906,54.064893754964615,BTC/USDT:USDT,60,False,ema_only,0.09126984126984126
14,42.857142857142854,1.2081718068527618,3.9858704500984006,-10.03157061327555,0.16162859736055105,1039.858704500984,33.97867567361605,BTC/USDT:USDT,60,False,ema_t,0.05555555555555555
1,0.0,0.0,-2.406189694935188,-2.406189694935188,-1.203094847467593,975.9381030506481,2.5837526041328207,BTC/USDT:USDT,60,True,none,0.003968253968253968
1,0.0,0.0,-2.406189694935188,-2.406189694935188,-1.203094847467593,975.9381030506481,2.5837526041328207,BTC/USDT:USDT,60,True,ema_only,0.003968253968253968
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,60,True,ema_t,0.0
23,26.08695652173913,0.49696969619850273,-19.133021459651342,-23.89659690803417,-0.4432141621973972,808.6697854034866,54.257232370538695,BTC/USDT:USDT,70,False,none,0.09126984126984126
15,40.0,1.0028143899684694,0.056106241048257746,-6.253197161859031,0.021610760245121253,1000.5610624104826,30.730176069343276,BTC/USDT:USDT,70,False,ema_only,0.05952380952380952
9,44.44444444444444,1.4631945773598423,4.906547848738955,-5.49860156252549,0.28793231848443274,1049.0654784873896,15.707422345600605,BTC/USDT:USDT,70,False,ema_t,0.03571428571428571
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,70,True,none,0.0
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,70,True,ema_only,0.0
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,70,True,ema_t,0.0
18,33.33333333333333,0.6177508770965302,-10.427731390980375,-15.405810260593283,-0.2882664155816561,895.7226860901962,43.224014933345856,BTC/USDT:USDT,80,False,none,0.07142857142857142
12,41.66666666666667,1.0463845569465193,0.715350140075509,-6.2531971618590365,0.049274671258759374,1007.1535014007551,27.141421671935305,BTC/USDT:USDT,80,False,ema_only,0.047619047619047616
6,50.0,1.9454105844856047,5.597750057534517,-5.498601562525484,0.4764209196313649,1055.9775005753452,11.999755661895277,BTC/USDT:USDT,80,False,ema_t,0.023809523809523808
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,80,True,none,0.0
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,80,True,ema_only,0.0
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,80,True,ema_t,0.0
9,11.11111111111111,0.21113811360722143,-13.19911870985078,-14.30936089201866,-0.7713875406986102,868.0088129014922,20.760783377649375,BTC/USDT:USDT,90,False,none,0.03571428571428571
5,20.0,0.4534151120264714,-4.2586527329380255,-5.4832495427118815,-0.4200852830415035,957.4134726706197,10.875949298287832,BTC/USDT:USDT,90,False,ema_only,0.01984126984126984
1,0.0,0.0,-0.7535840158422275,-0.7535840158422275,-0.37679200792111534,992.4641598415777,1.7771653798679623,BTC/USDT:USDT,90,False,ema_t,0.003968253968253968
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,90,True,none,0.0
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,90,True,ema_only,0.0
0,,,0.0,0.0,,1000.0,,BTC/USDT:USDT,90,True,ema_t,0.0
92,42.391304347826086,1.0522908585719202,5.855042956068655,-25.649015796597872,0.05068690282171046,1058.5504295606866,218.32279451025585,ETH/USDT:USDT,0,False,none,0.36507936507936506
66,45.45454545454545,1.2477199901900662,19.1139373916217,-13.09365247207628,0.15209911919922509,1191.139373916217,164.7078555872133,ETH/USDT:USDT,0,False,ema_only,0.2619047619047619
39,43.58974358974359,1.2030854408599694,9.090012356483431,-19.588847202561094,0.1302748912773542,1090.9001235648343,79.17940154849332,ETH/USDT:USDT,0,False,ema_t,0.15476190476190477
14,42.857142857142854,1.163871698511382,2.6638922705139976,-10.832338696386188,0.11233069846562985,1026.63892270514,30.187788484630218,ETH/USDT:USDT,0,True,none,0.05555555555555555
11,54.54545454545454,1.9863919848646696,9.864866754258788,-4.578006821547122,0.4476482363790997,1098.6486675425879,27.186835947560684,ETH/USDT:USDT,0,True,ema_only,0.04365079365079365
6,66.66666666666666,5.6025659945592805,10.839067133120308,-2.2310463321804317,0.8770979122261231,1108.390671331203,9.754874196037644,ETH/USDT:USDT,0,True,ema_t,0.023809523809523808
65,33.84615384615385,0.721945648994219,-22.753998719452273,-30.402876177826542,-0.1801026636199405,772.4600128054773,125.1141961544046,ETH/USDT:USDT,20,False,none,0.25793650793650796
48,37.5,0.8625442185876538,-8.036435941612137,-20.569126600896162,-0.06895227312123532,919.6356405838786,95.61125549703316,ETH/USDT:USDT,20,False,ema_only,0.19047619047619047
29,37.93103448275862,0.9096055032423861,-3.190109333787234,-13.603938759964873,-0.03809359336869411,968.0989066621277,55.060312623279,ETH/USDT:USDT,20,False,ema_t,0.11507936507936507
9,44.44444444444444,1.3766424833904298,3.3537280177283946,-7.089704521677402,0.20059006029533066,1033.537280177284,14.708208172016393,ETH/USDT:USDT,20,True,none,0.03571428571428571
7,57.14285714285714,2.7286457582736596,8.067405193112382,-2.852323369066937,0.5729303983803168,1080.6740519311238,12.614469302703752,ETH/USDT:USDT,20,True,ema_only,0.027777777777777776
4,75.0,140.0259566037081,9.322003575544704,-0.06583068886075835,1.1323447032865444,1093.220035755447,6.18796111083047,ETH/USDT:USDT,20,True,ema_t,0.015873015873015872
53,32.075471698113205,0.6874967595641623,-22.090365433607108,-28.58419028244833,-0.21727772856904373,779.0963456639289,107.4918524624114,ETH/USDT:USDT,30,False,none,0.21031746031746032
37,37.83783783783784,0.917502123003135,-3.7897695160442253,-14.885324749654893,-0.033898754976465266,962.1023048395577,77.42902823362355,ETH/USDT:USDT,30,False,ema_only,0.14682539682539683
22,40.909090909090914,1.1151138460264114,2.9230453966662253,-9.74456724937787,0.08408999028313426,1029.2304539666623,46.19757338921987,ETH/USDT:USDT,30,False,ema_t,0.0873015873015873
