mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,total_trades,symbols_profitable,symbols_total,pnl_net_total,avg_profit_factor,win_rate_weighted,max_drawdown_worst_pct
pullback,75,20,True,False,False,True,2.0,52,3,10,-308.55,0.59,36.5,-10.464175004349228
pullback,75,20,True,False,True,True,2.0,32,3,10,-321.49,0.58,28.1,-10.464175004349228
pullback,75,25,True,False,True,False,2.0,66,2,10,-460.86,0.79,33.3,-14.520230710673768
pullback,75,25,True,False,True,True,2.0,50,2,10,-337.09,0.71,34.0,-14.520230710673768
pullback,75,30,False,True,False,True,2.0,155,2,10,-839.28,0.6,38.1,-26.179658246351877
pullback,75,20,False,False,False,True,2.0,58,2,10,-330.86,0.59,37.9,-11.600667968369146
pullback,75,25,True,False,False,True,2.0,88,2,10,-425.76,0.58,38.6,-15.681016036107822
pullback,75,20,False,True,False,True,2.0,45,2,10,-253.77,0.56,37.8,-10.430097761194206
pullback,75,25,False,False,True,True,2.0,55,2,10,-435.63,0.56,30.9,-14.520230710673768
pullback,75,25,False,True,False,True,2.0,73,2,10,-336.68,0.56,38.4,-15.666843003935213
pullback,75,25,True,True,False,True,2.0,64,2,10,-312.08,0.53,37.5,-15.666843003935213
pullback,75,30,False,True,True,True,2.0,77,2,10,-658.8,0.52,29.9,-20.65914442167849
pullback,75,20,True,True,False,True,2.0,39,2,10,-230.72,0.5,35.9,-10.430097761194206
pullback,75,20,False,False,True,True,2.0,35,2,10,-397.94,0.49,25.7,-10.464175004349228
pullback,75,30,False,False,True,False,2.0,140,2,10,-1107.9,0.49,30.0,-25.386462737591643
pullback,75,20,True,False,False,False,2.0,66,2,10,-533.74,0.43,31.8,-15.660612333014582
pullback,75,25,True,False,False,False,2.0,115,1,10,-684.74,0.61,35.7,-18.890339532138093
pullback,75,25,True,True,True,True,2.0,36,1,10,-273.11,0.61,30.6,-14.505862564103552
pullback,75,30,False,False,False,True,2.0,195,1,10,-935.04,0.59,38.5,-26.33091257244484
pullback,75,25,False,False,True,False,2.0,71,1,10,-557.46,0.58,31.0,-14.667762560989342
pullback,75,25,True,True,True,False,2.0,48,1,10,-366.06,0.58,31.2,-14.505862564103552
pullback,75,30,True,True,False,True,2.0,131,1,10,-757.38,0.58,37.4,-23.96472536851109
pullback,75,25,False,False,False,True,2.0,97,1,10,-449.58,0.57,39.2,-15.681016036107822
pullback,75,25,False,False,False,False,2.0,126,1,10,-710.45,0.55,36.5,-18.890339532138093
pullback,75,25,True,True,False,False,2.0,85,1,10,-496.26,0.55,35.3,-17.712997726014596
pullback,75,30,False,False,True,True,2.0,108,1,10,-749.82,0.54,31.5,-21.583013110874763
pullback,75,25,False,True,False,False,2.0,96,1,10,-522.64,0.51,36.5,-17.712997726014596
pullback,75,30,True,False,True,True,2.0,97,1,10,-748.67,0.51,30.9,-21.583013110874763
pullback,75,30,True,False,True,False,2.0,128,1,10,-1082.4,0.5,29.7,-25.386462737591643
pullback,75,25,False,True,True,False,2.0,53,1,10,-463.52,0.46,28.3,-14.505862564103552
pullback,75,30,False,True,False,False,2.0,204,1,10,-1271.78,0.46,35.8,-27.38665716697975
pullback,75,20,False,False,False,False,2.0,74,1,10,-540.25,0.43,33.8,-17.72544629243158
pullback,75,20,True,False,True,False,2.0,39,1,10,-442.98,0.43,25.6,-10.395628781142397
pullback,75,30,True,True,True,False,2.0,88,1,10,-918.96,0.4,27.3,-21.13363036352913
pullback,75,20,False,True,False,False,2.0,59,1,10,-408.31,0.37,33.9,-12.603310349816674
pullback,75,20,True,True,False,False,2.0,51,1,10,-400.73,0.32,31.4,-12.603310349816674
pullback,75,30,True,False,False,True,2.0,172,0,10,-871.42,0.58,37.8,-26.33091257244484
pullback,75,25,False,True,True,True,2.0,41,0,10,-371.68,0.49,26.8,-14.505862564103552
pullback,75,30,False,False,False,False,2.0,258,0,10,-1490.41,0.48,36.0,-30.55711057459103
pullback,75,30,True,False,False,False,2.0,232,0,10,-1428.15,0.46,35.3,-29.698459040752034
pullback,75,30,True,True,False,False,2.0,177,0,10,-1186.75,0.45,35.0,-25.996417295870554
pullback,75,30,False,True,True,False,2.0,100,0,10,-946.46,0.44,28.0,-21.13363036352913
pullback,75,30,True,True,True,True,2.0,66,0,10,-657.15,0.44,28.8,-20.65914442167849
pullback,75,20,False,False,True,False,2.0,42,0,10,-517.53,0.36,23.8,-10.534064530994192
pullback,75,20,True,True,True,False,2.0,30,0,10,-370.48,0.27,23.3,-9.697507163755501
pullback,75,20,False,True,True,False,2.0,33,0,10,-445.05,0.26,21.2,-9.697507163755501
