num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,display_name,strategy,trades_per_day,days_analizados
15,73.33333333333333,3.7741223821878793,28.064362313651625,-4.34426228577776,0.8477000123110752,1280.6436231365162,39.18522843192545,NCCOXAG2USD/USDT:USDT,SILVER/USD,V1,0.08691978028611094,172.6
54,64.81481481481481,1.6421764316929621,42.34354591540919,-11.961117199984031,0.34671153343694955,1423.4354591540919,329.156028781377,NCSISP5002USD/USDT:USDT,SP500/USD,V1,0.21634254235873468,249.6
65,53.84615384615385,1.396929843796653,32.449843617258765,-10.766126771437234,0.2359932269601644,1324.4984361725876,310.37303585157093,NCSINASDAQ1002USD/USDT:USDT,NASDAQ100/USD,V1,0.26042318767997996,249.6
23,65.21739130434783,2.7248487729350064,39.44457065662041,-5.992953885212325,0.7475288344579255,1394.445706566204,59.94263732898088,NCCO1OILBRENT2USD/USDT:USDT,OIL_BRENT/USD,V1,0.15351456580685532,149.8
18,55.55555555555556,1.242132258071762,5.873661681903968,-9.531245889700743,0.18081052568408582,1058.7366168190397,123.50318701245492,XAUT/USDT:USDT,XAUT,V1,0.07132538077351715,252.4
67,53.73134328358209,1.4238175947999043,43.583008795937396,-17.70980388073792,0.2911372146464882,1435.830087959374,293.9007289427203,NCSKAMZN2USD/USDT:USDT,AMZN/USD,V1,0.2659719637762064,251.9
43,65.11627906976744,2.8236506561830583,90.94749612907272,-8.639623809380844,0.7775979112111226,1909.4749612907272,110.61096874589055,ADA/USDT:USDT,ADA,V1,0.1704446921838226,252.3
104,51.92307692307693,1.264813186789731,41.63938555577852,-16.17253150176411,0.18764159028891697,1416.3938555577852,446.5448466165611,BNB/USDT:USDT,BNB,V1,0.41223832528180354,252.3
7,57.14285714285714,2.1872733466663106,8.731457210968097,-4.803720906653325,0.6279645472211992,1087.314572109681,17.639238762015466,NCSKAAPL2USD/USDT:USDT,AAPL/USD,V5,0.02666243453420092,262.5
74,33.78378378378378,0.9559560181067656,-4.543750606403989,-37.32054552678328,-0.0021240830977969647,954.5624939359601,151.40693169318092,ETH/USDT:USDT,ETH,V5,0.1352936695360707,547.0
46,34.78260869565217,0.8714857552576902,-8.851206042202568,-19.235866974691678,-0.07612779439097653,911.4879395779743,121.36710144993206,BTC/USDT:USDT,BTC,V5,0.08410147025215205,547.0
24,33.33333333333333,1.1572530748776377,4.866621493035223,-19.741680412204698,0.13103138829097494,1048.6662149303522,18.751096808625057,HYPE/USDT:USDT,HYPE,V5,0.04057766819302571,591.5
72,36.11111111111111,0.9833856277338079,-1.6599026276637003,-17.932915303209903,0.013343254500709452,983.400973723363,147.05409925935896,SOL/USDT:USDT,SOL,V5,0.13163708387293363,547.0
