combo_id,symbol,mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,num_trades,win_rate,profit_factor,pnl_net_total,max_drawdown_pct
1,BTC,pullback,80,30,True,True,True,True,2.0,10,40.0,0.7726404790300231,-30.12254612802633,-12.821929011561096
1,ETH,pullback,80,30,True,True,True,True,2.0,6,50.0,0.5928229991320885,-26.97440530792403,-4.3253184225583095
1,XAUT,pullback,80,30,True,True,True,True,2.0,7,14.285714285714285,0.20737026898102282,-104.93212037387605,-13.238478985513064
1,SP500/USD,pullback,80,30,True,True,True,True,2.0,3,33.33333333333333,0.4044215597133272,-36.64197570847773,-6.152334139368884
1,NASDAQ100/USD,pullback,80,30,True,True,True,True,2.0,3,33.33333333333333,0.5609152600304333,-26.892778478124114,-3.1125914675503963
1,OIL_BRENT/USD,pullback,80,30,True,True,True,True,2.0,3,33.33333333333333,0.26438097902725827,-18.297327547916552,-2.4710874825708276
1,SILVER/USD,pullback,80,30,True,True,True,True,2.0,4,0.0,0.0,-100.30403471515206,-10.030403471515207
1,HYPE,pullback,80,30,True,True,True,True,2.0,5,60.0,0.8530946963723673,-6.220871604528611,-4.0869704746742235
1,AAPL/USD,pullback,80,30,True,True,True,True,2.0,7,0.0,0.0,-140.1752358348283,-14.01752358348283
1,AMZN/USD,pullback,80,30,True,True,True,True,2.0,6,50.0,0.7852987761758649,-13.625900627578062,-4.962643278681708
2,BTC,pullback,80,30,True,True,True,False,2.0,13,38.46153846153847,0.7015008074418385,-53.04946916694655,-14.820087046034644
2,ETH,pullback,80,30,True,True,True,False,2.0,7,42.857142857142854,0.4442240981589337,-48.06977967642979,-4.967125957738927
2,XAUT,pullback,80,30,True,True,True,False,2.0,13,23.076923076923077,0.3197630295506647,-157.90236039920967,-21.13363036352913
2,SP500/USD,pullback,80,30,True,True,True,False,2.0,5,20.0,0.2456577240206462,-73.48159424520202,-9.74114756458555
2,NASDAQ100/USD,pullback,80,30,True,True,True,False,2.0,4,50.0,1.0653425288578795,4.06467166921982,-3.1125914675503963
2,OIL_BRENT/USD,pullback,80,30,True,True,True,False,2.0,4,50.0,0.4172092847786156,-14.55128644950753,-2.4710874825708307
2,SILVER/USD,pullback,80,30,True,True,True,False,2.0,6,0.0,0.0,-138.09301324296507,-13.809301324296507
2,HYPE,pullback,80,30,True,True,True,False,2.0,6,50.0,0.6043378223168112,-23.651340818443487,-5.76924479558269
2,AAPL/USD,pullback,80,30,True,True,True,False,2.0,7,0.0,0.0,-140.1752358348283,-14.01752358348283
2,AMZN/USD,pullback,80,30,True,True,True,False,2.0,7,42.857142857142854,0.5421652704122065,-41.16890412254941,-6.554394470506429
3,BTC,pullback,80,30,True,True,False,True,2.0,16,43.75,0.907994153514292,-16.17006691186714,-17.00870415553366
3,ETH,pullback,80,30,True,True,False,True,2.0,22,40.909090909090914,0.3632878370899255,-162.05422208550738,-19.527465168962035
3,XAUT,pullback,80,30,True,True,False,True,2.0,16,37.5,0.827052729686406,-35.07160384242604,-12.659388111873387
3,SP500/USD,pullback,80,30,True,True,False,True,2.0,7,57.14285714285714,0.8727788091359947,-8.647983387776776,-6.152334139368884
3,NASDAQ100/USD,pullback,80,30,True,True,False,True,2.0,9,33.33333333333333,0.3780541228233607,-96.27153015909573,-9.995355121583065
3,OIL_BRENT/USD,pullback,80,30,True,True,False,True,2.0,3,33.33333333333333,0.26438097902725827,-18.297327547916552,-2.4710874825708276
3,SILVER/USD,pullback,80,30,True,True,False,True,2.0,6,0.0,0.0,-132.379461215093,-13.237946121509298
3,HYPE,pullback,80,30,True,True,False,True,2.0,7,57.14285714285714,1.2780140485408669,12.915439252716965,-4.38524792108081
3,AAPL/USD,pullback,80,30,True,True,False,True,2.0,12,8.333333333333332,0.016577364519586,-173.58701572709663,-17.599814620454968
3,AMZN/USD,pullback,80,30,True,True,False,True,2.0,9,55.55555555555556,0.7446676355127478,-20.123894327440667,-4.658599410111072
4,BTC,pullback,80,30,True,True,False,False,2.0,22,45.45454545454545,0.8648811447302653,-33.212403304806685,-16.434838591290983
4,ETH,pullback,80,30,True,True,False,False,2.0,25,36.0,0.2876999525729631,-215.17879548497865,-23.495215245352064
