mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,total_trades,symbols_profitable,symbols_total,pnl_net_total,avg_profit_factor,win_rate_weighted,max_drawdown_worst_pct
pullback,80,25,False,True,False,False,2.0,58,4,10,-274.44,0.8,37.9,-14.615758008307104
pullback,80,25,True,False,True,False,2.0,46,3,10,-173.44,0.99,41.3,-11.645634071308086
pullback,80,25,False,False,True,False,2.0,48,3,10,-196.75,0.89,39.6,-11.645634071308086
pullback,80,25,True,False,True,True,2.0,34,3,10,-144.52,0.84,41.2,-8.639307016613179
pullback,80,25,False,True,True,False,2.0,34,3,10,-142.34,0.8,38.2,-9.512011985548247
pullback,80,25,False,False,True,True,2.0,36,3,10,-167.83,0.72,38.9,-8.639307016613179
pullback,80,20,False,False,False,False,2.0,33,3,10,-183.57,0.67,39.4,-8.79640214057548
pullback,80,25,True,True,True,False,2.0,32,3,10,-118.46,0.63,40.6,-9.512011985548247
pullback,80,25,True,False,False,True,2.0,61,3,10,-266.19,0.62,41.0,-10.636093324379955
pullback,80,25,True,True,False,False,2.0,53,3,10,-267.9,0.44,37.7,-14.615758008307104
pullback,80,25,False,True,False,True,2.0,43,2,10,-197.3,0.8,37.2,-8.607316751373215
pullback,80,25,False,False,False,False,2.0,85,2,10,-354.91,0.66,40.0,-16.62903853853883
pullback,80,25,True,False,False,False,2.0,80,2,10,-348.0,0.62,40.0,-16.62903853853883
pullback,80,25,False,False,False,True,2.0,64,2,10,-268.07,0.6,40.6,-10.636093324379955
pullback,80,30,False,True,False,True,2.0,125,2,10,-709.18,0.6,37.6,-22.697404215262758
pullback,80,20,True,False,False,False,2.0,31,2,10,-195.48,0.57,38.7,-8.79640214057548
pullback,80,30,False,True,True,True,2.0,62,2,10,-432.11,0.57,33.9,-14.01752358348283
pullback,80,30,False,False,True,False,2.0,117,2,10,-767.3,0.56,33.3,-23.30627074844762
pullback,80,25,True,True,False,True,2.0,40,2,10,-195.15,0.52,37.5,-8.607316751373215
pullback,80,30,True,False,True,False,2.0,108,2,10,-809.48,0.52,32.4,-23.30627074844762
pullback,80,30,False,False,False,True,2.0,162,1,10,-759.67,0.59,38.9,-22.47322607768716
pullback,80,30,False,False,True,True,2.0,89,1,10,-491.17,0.59,34.8,-17.873160005691823
pullback,80,30,True,False,False,True,2.0,145,1,10,-717.93,0.57,38.6,-21.161796653205712
pullback,80,30,True,True,False,True,2.0,107,1,10,-649.69,0.57,37.4,-19.527465168962035
pullback,80,30,False,True,True,False,2.0,81,1,10,-643.91,0.51,32.1,-21.13363036352913
pullback,80,30,True,False,True,True,2.0,81,1,10,-563.89,0.51,33.3,-17.873160005691823
pullback,80,30,True,True,True,False,2.0,72,1,10,-686.08,0.43,30.6,-21.13363036352913
pullback,80,30,False,False,False,False,2.0,217,0,10,-1166.6,0.48,37.3,-27.328936432041008
pullback,80,30,True,False,False,False,2.0,197,0,10,-1117.77,0.48,37.1,-25.937591451815855
pullback,80,30,False,True,False,False,2.0,166,0,10,-1052.06,0.45,36.1,-24.932442987713856
pullback,80,30,True,True,True,True,2.0,54,0,10,-504.19,0.44,31.5,-14.01752358348283
pullback,80,30,True,True,False,False,2.0,145,0,10,-983.0,0.43,35.9,-23.495215245352064
