symbol,level_type,rr_ratio,num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,trades_per_day,days_analizados,total_fees
SILVER/USD,asia,1.0,20,50.0,0.5325868408076593,-10.330048448367597,-10.50034833660119,-0.2627055515853079,0.46798830029249266,42.7,103.6319920279533
SILVER/USD,asia,1.5,19,47.368421052631575,0.842840919124555,-3.6516126021339343,-8.116623078246471,-0.08317112906667919,0.444588885277868,42.7,104.22013641141035
SILVER/USD,asia,2.0,19,47.368421052631575,1.2136081515919344,5.168849462537219,-7.221153675094836,0.15368939724911337,0.444588885277868,42.7,108.86329376400245
SILVER/USD,asia,2.3,19,47.368421052631575,1.4354414822931028,10.799105382429254,-6.683872033203853,0.2958057130385895,0.444588885277868,42.7,111.76832094642192
SILVER/USD,london,1.0,44,43.18181818181818,0.39634304617547017,-29.490318894956275,-30.143092748334112,-0.3866607392245384,1.029574260643484,42.7,213.3385371320379
SILVER/USD,london,1.5,42,40.476190476190474,0.6469282838774952,-17.858151197854976,-19.415206158348585,-0.22021019642569012,0.9827754306142346,42.7,216.08249542816378
SILVER/USD,london,2.0,38,44.73684210526316,0.8883002892301884,-5.716457504609389,-12.369439051342427,-0.05856685430379558,0.889177770555736,42.7,216.7756720025428
SILVER/USD,london,2.3,38,42.10526315789473,0.87916892799535,-6.705297172888026,-14.701088197580795,-0.07033944400012333,0.889177770555736,42.7,221.05261629060638
SILVER/USD,newyork,1.0,28,46.42857142857143,0.42789200690637236,-17.299564306080903,-17.3700574207492,-0.3292556919179922,0.6551836204094897,42.7,164.4007864516246
SILVER/USD,newyork,1.5,27,44.44444444444444,0.6754356554508344,-10.758133883795926,-13.337721489558385,-0.1964934570756503,0.6317842053948651,42.7,156.1148141949599
SILVER/USD,newyork,2.0,25,40.0,0.8470761956741799,-5.064255822170014,-10.469735113823868,-0.08505859605546542,0.5849853753656158,42.7,142.82713303017704
SILVER/USD,newyork,2.3,25,40.0,1.0161527535524801,0.546921481304264,-8.799121704025472,0.03360172317266458,0.5849853753656158,42.7,146.5041417208354
SILVER/USD,prevday,1.0,23,52.17391304347826,0.7160867694966291,-5.919144329862126,-6.520938132036175,-0.12468343475052128,0.5381865453363666,42.7,114.94609927369655
SILVER/USD,prevday,1.5,23,47.82608695652174,0.8757667123805455,-3.3509067801009222,-12.066941695479523,-0.05932908692443801,0.5381865453363666,42.7,112.3277711941184
SILVER/USD,prevday,2.0,22,36.36363636363637,0.7632523280904197,-7.449309457331969,-12.627367506766426,-0.15592616846767757,0.514787130321742,42.7,105.21509433741342
SILVER/USD,prevday,2.3,22,31.818181818181817,0.6285141589567571,-12.446159862978016,-12.961694911338645,-0.28116140357617386,0.514787130321742,42.7,103.57222090617417
SP500/USD,asia,1.0,27,33.33333333333333,0.13634759622526108,-24.53610251642242,-24.54638786680098,-0.5128964265883655,0.6034924330616996,44.7,286.31788120553864
SP500/USD,asia,1.5,23,43.47826086956522,0.46241246311607936,-12.290642444116713,-12.771040167016293,-0.27573786186424326,0.5140861466821885,44.7,257.8518039271899
SP500/USD,asia,2.0,21,57.14285714285714,0.8648852191644417,-2.7893643307976275,-7.817683331455385,-0.05555879198038499,0.46938300349243306,44.7,241.1071634656602
SP500/USD,asia,2.3,21,47.61904761904761,0.7501164108310986,-5.84696813331667,-9.312898583782179,-0.1301582152337124,0.46938300349243306,44.7,237.71351931693093
SP500/USD,london,1.0,43,34.883720930232556,0.1288517334589569,-36.64293576459678,-36.64293576459678,-0.5215719818338953,0.9611175785797439,44.7,401.5988038428835
SP500/USD,london,1.5,38,50.0,0.4338214565418434,-23.31037975596564,-23.31037975596564,-0.33846093654900783,0.849359720605355,44.7,393.3745802977278
SP500/USD,london,2.0,37,45.94594594594595,0.5299655112378535,-24.044274899641938,-26.926301436983017,-0.3557704523860477,0.8270081490104773,44.7,388.3504311647059
SP500/USD,london,2.3,36,44.44444444444444,0.6021712553280821,-20.730696722113738,-22.209936809545226,-0.3041771362719592,0.8046565774155995,44.7,381.33817794046337
SP500/USD,newyork,1.0,27,25.925925925925924,0.05416634489667293,-29.802601202947926,-29.802601202947926,-0.645029959745425,0.6034924330616996,44.7,299.6714547934987
SP500/USD,newyork,1.5,23,34.78260869565217,0.17281455823741354,-27.958263381720315,-27.958263381720315,-0.6984013973886498,0.5140861466821885,44.7,267.5199925401781
SP500/USD,newyork,2.0,21,38.095238095238095,0.3577585573695168,-20.590328100183513,-20.590328100183513,-0.5325471825425072,0.46938300349243306,44.7,252.39076340786744
SP500/USD,newyork,2.3,20,40.0,0.4532179023354895,-17.523198982058943,-17.523198982058943,-0.46267971829824955,0.4470314318975553,44.7,243.85554519996876
SP500/USD,prevday,1.0,18,27.77777777777778,0.08201561241042422,-18.061278152418563,-18.32507421647607,-0.5445308187079214,0.40232828870779974,44.7,209.78285114021713
SP500/USD,prevday,1.5,17,35.294117647058826,0.31810709694017136,-13.344310569229448,-14.476372226665045,-0.4107303106895319,0.37997671711292197,44.7,202.59192714150464
SP500/USD,prevday,2.0,16,31.25,0.3925516683974772,-13.828079854166301,-15.785546237565494,-0.4502584353055912,0.3576251455180442,44.7,189.5701010147536
SP500/USD,prevday,2.3,15,26.666666666666668,0.33472152453097076,-14.908667893138567,-17.326699018215344,-0.5220424083357653,0.3352735739231665,44.7,176.77412936893933
NASDAQ100/USD,asia,1.0,36,33.33333333333333,0.14791498786095206,-38.599327203724805,-38.7073125119998,-0.664318442057038,0.8046565774155995,44.7,303.2450508629941
NASDAQ100/USD,asia,1.5,35,45.714285714285715,0.35886581476830487,-31.813592629436233,-32.023784431208334,-0.5301191588279086,0.7823050058207217,44.7,311.015475134758
NASDAQ100/USD,asia,2.0,32,46.875,0.4910551753945559,-24.259291717604412,-25.59805280356901,-0.41420420281338577,0.7152502910360884,44.7,295.582098244619
NASDAQ100/USD,asia,2.3,32,46.875,0.6179391216751592,-18.74588638878232,-21.55546071757674,-0.30167188862845207,0.7152502910360884,44.7,304.572127386156
NASDAQ100/USD,london,1.0,44,47.72727272727273,0.2980808435890764,-31.192173980541654,-32.4663456782821,-0.4141898738278434,0.9834691501746216,44.7,343.69353847726524
NASDAQ100/USD,london,1.5,41,51.21951219512195,0.5786646891352648,-20.534006518186835,-23.391832242629366,-0.26576016167809513,0.9164144353899883,44.7,337.8177127749309
NASDAQ100/USD,london,2.0,37,56.75675675675676,0.9215520966795558,-3.3280436732459293,-13.236869500347096,-0.029617827294583544,0.8270081490104773,44.7,318.77832537084214
NASDAQ100/USD,london,2.3,37,54.054054054054056,0.9073213818351666,-4.1147090442469105,-13.564624229016726,-0.03874714350905426,0.8270081490104773,44.7,310.64358424416673
NASDAQ100/USD,newyork,1.0,27,59.25925925925925,0.5168457713090816,-9.925226355717848,-13.800582374631926,-0.18654983306564485,0.6034924330616996,44.7,211.2050591821956
NASDAQ100/USD,newyork,1.5,24,66.66666666666666,1.1062827079369149,2.1493186254469268,-10.791353424471492,0.055539351860185084,0.5364377182770663,44.7,198.95749059343856
NASDAQ100/USD,newyork,2.0,23,60.86956521739131,1.5685826311091258,12.238780982215053,-10.791353424471492,0.2680646510489332,0.5140861466821885,44.7,197.5835544776931
NASDAQ100/USD,newyork,2.3,23,60.86956521739131,1.7972237209596897,17.334618952016466,-10.791353424471492,0.3674028881814021,0.5140861466821885,44.7,200.70907001503824
NASDAQ100/USD,prevday,1.0,22,36.36363636363637,0.13774561634509655,-27.81165425689019,-29.873132341939552,-0.7269312664122506,0.4917345750873108,44.7,146.4012299356033
NASDAQ100/USD,prevday,1.5,21,38.095238095238095,0.2840654968926334,-21.77929835454196,-24.770443058645718,-0.5696926237122856,0.46938300349243306,44.7,147.65014619451725
NASDAQ100/USD,prevday,2.0,20,40.0,0.4131712591665822,-17.82350396955701,-21.35301257887328,-0.47239165554097073,0.4470314318975553,44.7,145.24408998879107
