num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,tp_rr_ratio
109,40.36697247706422,0.6186447917159286,-48.419345893433125,-51.86429071691007,-0.28804310354462037,515.8065410656687,289.8455456779027,BTC,0,1.5
93,50.53763440860215,1.1294410218081135,13.760079835333977,-16.698058990569493,0.08401955016108366,1137.6007983533398,246.01871600178998,ETH,0,1.5
81,44.44444444444444,0.6222452359571384,-36.888289052018656,-38.93715142957356,-0.2697312916298382,631.1171094798134,326.0384881373987,XAUT,0,1.5
91,53.84615384615385,0.8096770403666219,-21.222429751666255,-28.83794613678502,-0.1160035907368585,787.7757024833375,486.64123170920215,SP500/USD,0,1.5
85,54.11764705882353,0.9187262082409463,-8.552994644739726,-21.907461723567337,-0.03786915201041077,914.4700535526027,410.1889992768558,NASDAQ100/USD,0,1.5
46,56.52173913043478,1.3638038077423007,21.30487842555174,-11.540712513273363,0.22594015488478755,1213.0487842555174,132.2110478869657,OIL_BRENT/USD,0,1.5
41,58.536585365853654,1.3515688511113813,17.009299813442293,-11.819550431782618,0.20667527805062505,1170.092998134423,135.02510908756238,SILVER/USD,0,1.5
115,52.17391304347826,1.296387213083809,44.258527944786394,-14.366412677104067,0.17505548292935932,1442.585279447864,240.55142589359968,HYPE/USD,0,1.5
61,50.81967213114754,0.8604414177981473,-9.952812852565865,-20.111996451748336,-0.07070563123262956,900.4718714743414,242.16909114404507,AAPL/USD,0,1.5
85,48.23529411764706,0.84033009396822,-18.401725074161174,-37.562563142877934,-0.10451115049900993,815.9827492583883,329.93330207781804,AMZN/USD,0,1.5
107,33.64485981308411,0.6274632031812867,-51.604674362606,-56.735732122733616,-0.3192934276300195,483.95325637394,288.29382291250437,BTC,0,2.0
92,42.391304347826086,1.0522908585719202,5.855042956068655,-25.649015796597872,0.05068690282171046,1058.5504295606866,218.32279451025585,ETH,0,2.0
81,35.80246913580247,0.5504307912478574,-47.29321866323843,-49.78788902090774,-0.37726066504627565,527.0678133676157,302.81523121481723,XAUT,0,2.0
91,52.74725274725275,0.9712583132164577,-3.708023720032225,-21.186419462703427,-0.0014786064375229362,962.9197627996778,545.7092586451602,SP500/USD,0,2.0
85,49.411764705882355,1.0759331037809357,9.362721934014939,-17.14617220537291,0.07225536118871925,1093.6272193401494,451.9166011980782,NASDAQ100/USD,0,2.0
46,45.65217391304348,1.2011603284802332,13.650883643701627,-21.446947143918642,0.16100847098480936,1136.5088364370163,124.07986031081391,OIL_BRENT/USD,0,2.0
40,52.5,1.2959303207391382,16.119637452917438,-17.305126306179446,0.20668112345976217,1161.1963745291744,133.95627203589623,SILVER/USD,0,2.0
115,46.08695652173913,1.3670787906135744,62.350914635310616,-16.913493243400048,0.23271646561530543,1623.5091463531062,244.1605763443097,HYPE/USD,0,2.0
61,49.18032786885246,1.0856485429853306,6.953603468004917,-17.559524671179567,0.07546175682891539,1069.5360346800492,267.15034771445005,AAPL/USD,0,2.0
85,47.05882352941176,1.049409618343391,7.032145814085311,-35.83043576242845,0.06087917152801999,1070.321458140853,389.36831361224534,AMZN/USD,0,2.0
107,28.037383177570092,0.5721351787515323,-60.2514638259542,-66.66106381703494,-0.4093873545281702,397.48536174045796,276.80659121963885,BTC,0,2.5
92,39.130434782608695,1.132310383552337,16.207225174175026,-35.200183190996746,0.10708706659100989,1162.0722517417503,225.3266907154611,ETH,0,2.5
81,33.33333333333333,0.5561639290944673,-47.99755353400451,-50.766699445892925,-0.38305041486667035,520.0244646599549,299.02774701617614,XAUT,0,2.5
90,51.11111111111111,1.111234441849382,16.11260223556626,-20.626453148994365,0.10815243508632104,1161.1260223556626,589.1593712638063,SP500/USD,0,2.5
84,42.857142857142854,0.9985933692998221,-0.18411894282750155,-22.47406701058837,0.02367212623293881,998.158810571725,423.3100398913145,NASDAQ100/USD,0,2.5
45,40.0,1.132907964201699,9.721661853254703,-23.080621546254516,0.13005752792486502,1097.216618532547,122.79144941462441,OIL_BRENT/USD,0,2.5
40,47.5,1.2607385445036015,16.79494839028239,-16.824730132359882,0.21994740331183937,1167.9494839028239,141.10626449729375,SILVER/USD,0,2.5
114,39.473684210526315,1.3058542743980186,49.48598982014646,-29.071855512552368,0.20374150433094423,1494.8598982014646,211.79338432859728,HYPE/USD,0,2.5
61,47.540983606557376,1.2387051170711978,21.29062938037682,-15.908633736994751,0.18429320934907253,1212.9062938037682,284.84942298740094,AAPL/USD,0,2.5
85,42.35294117647059,1.0204962871967245,2.9594337060348836,-33.389472967353484,0.042337289303006016,1029.5943370603488,368.2829295806826,AMZN/USD,0,2.5
107,28.037383177570092,0.6045565438693343,-57.81472705565952,-65.38122578375027,-0.3795266201604376,421.8527294434048,286.67290742881613,BTC,0,3.0
92,36.95652173913043,1.1395959857607953,19.228997815841627,-32.041343221259964,0.1251372883638609,1192.2899781584163,243.4533978188923,ETH,0,3.0
81,33.33333333333333,0.6453362160445921,-40.8818012216358,-44.25963824282101,-0.3001429373996597,591.1819877836421,317.03783784370086,XAUT,0,3.0
90,45.55555555555556,0.9376630514091956,-8.085486389175959,-31.550085644285126,-0.01821516070030907,919.1451361082404,473.10884072257204,SP500/USD,0,3.0
83,37.34939759036144,0.9254917542715776,-9.92372356610232,-28.41934233124823,-0.03465066705445895,900.7627643389768,400.92923506226646,NASDAQ100/USD,0,3.0
45,35.55555555555556,1.1099670828817612,8.343828800141477,-20.09188571719393,0.12029767997947213,1083.4382880014148,121.92066804309601,OIL_BRENT/USD,0,3.0
40,47.5,1.394014290008524,26.924908712378464,-16.23747520119805,0.3298983985860797,1269.2490871237846,149.46130046225898,SILVER/USD,0,3.0
112,36.607142857142854,1.3357881076856821,54.70895994808277,-25.61732829235288,0.22740406728253632,1547.0895994808277,206.5440101242855,HYPE/USD,0,3.0
61,42.62295081967213,1.122839281514865,11.473683947800305,-21.187392981269216,0.11937238341255416,1114.736839478003,269.67866054676324,AAPL/USD,0,3.0
84,34.523809523809526,0.8283234814807185,-23.667774556491427,-42.534781686895826,-0.13351059425145625,763.3222544350857,313.9413080127727,AMZN/USD,0,3.0
74,36.486486486486484,0.5612476420779433,-42.777646829194396,-46.308979756620104,-0.36133108026948496,572.223531708056,188.05137672145628,BTC,30,1.5
