mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,total_trades,symbols_profitable,symbols_total,pnl_net_total,avg_profit_factor,win_rate_weighted,max_drawdown_worst_pct
reversal,70,20,False,False,False,False,2.0,1290,0,10,-4552.27,0.58,37.1,-79.91891404582856
reversal,70,20,False,False,False,True,2.0,286,1,10,-1411.6,0.61,37.4,-40.323700254904416
reversal,70,20,False,False,True,False,2.0,708,2,10,-2127.02,0.72,38.6,-70.36563358371568
reversal,70,20,False,False,True,True,2.0,177,2,10,-586.35,0.72,41.8,-33.22896452001757
reversal,70,20,False,True,False,False,2.0,1081,0,10,-4083.0,0.57,37.0,-71.76196000419488
reversal,70,20,False,True,False,True,2.0,224,1,10,-1217.92,0.62,36.2,-31.69617560533785
reversal,70,20,False,True,True,False,2.0,544,2,10,-1804.41,0.7,38.4,-57.13617348617933
reversal,70,20,False,True,True,True,2.0,125,3,10,-437.99,0.72,41.6,-22.855569482981466
reversal,70,20,True,False,False,False,2.0,1029,0,10,-3584.76,0.62,38.3,-75.16131510438827
reversal,70,20,True,False,False,True,2.0,248,1,10,-1169.17,0.61,37.9,-36.39624564269279
reversal,70,20,True,False,True,False,2.0,607,1,10,-1805.76,0.73,39.4,-64.6846766238272
reversal,70,20,True,False,True,True,2.0,158,2,10,-583.46,0.66,41.1,-30.797246253739264
reversal,70,20,True,True,False,False,2.0,821,0,10,-2960.04,0.62,38.5,-65.32333766894148
reversal,70,20,True,True,False,True,2.0,187,0,10,-950.56,0.63,36.9,-32.495906644111514
reversal,70,20,True,True,True,False,2.0,445,1,10,-1446.71,0.72,39.6,-48.91910718752777
reversal,70,20,True,True,True,True,2.0,107,3,10,-418.86,0.72,41.1,-20.046065040203835
reversal,70,25,False,False,False,False,2.0,1578,0,10,-5311.48,0.58,36.8,-84.29723224920455
reversal,70,25,False,False,False,True,2.0,344,1,10,-1677.54,0.59,36.9,-43.06283164341864
reversal,70,25,False,False,True,False,2.0,883,0,10,-3019.62,0.63,37.6,-72.67186535730275
reversal,70,25,False,False,True,True,2.0,210,1,10,-875.95,0.65,40.0,-38.83110627308518
reversal,70,25,False,True,False,False,2.0,1332,0,10,-4534.15,0.59,37.5,-75.62824063408057
reversal,70,25,False,True,False,True,2.0,273,0,10,-1317.33,0.61,37.0,-33.89585520734333
reversal,70,25,False,True,True,False,2.0,693,2,10,-2232.78,0.66,38.5,-60.41155681205107
reversal,70,25,False,True,True,True,2.0,150,3,10,-527.41,0.69,42.0,-27.146777487999902
reversal,70,25,True,False,False,False,2.0,1280,0,10,-4435.98,0.6,37.5,-79.28838795859237
reversal,70,25,True,False,False,True,2.0,301,1,10,-1454.51,0.58,37.2,-39.31564648911956
reversal,70,25,True,False,True,False,2.0,762,0,10,-2545.57,0.66,38.5,-66.05157612923134
reversal,70,25,True,False,True,True,2.0,190,2,10,-850.43,0.63,39.5,-36.603411058617986
reversal,70,25,True,True,False,False,2.0,1035,0,10,-3505.75,0.62,38.5,-69.02312181024804
reversal,70,25,True,True,False,True,2.0,232,0,10,-1082.47,0.62,37.5,-30.09484489470764
reversal,70,25,True,True,True,False,2.0,575,2,10,-1728.79,0.71,39.8,-50.82118603043845
reversal,70,25,True,True,True,True,2.0,132,3,10,-506.79,0.73,41.7,-24.493553516465404
reversal,70,30,False,False,False,False,2.0,2104,0,10,-6398.33,0.56,36.5,-92.72436876576613
reversal,70,30,False,False,False,True,2.0,458,0,10,-2474.44,0.51,34.1,-54.217313893218545
reversal,70,30,False,False,True,False,2.0,1200,1,10,-3756.02,0.61,37.2,-88.05671247389141
reversal,70,30,False,False,True,True,2.0,275,2,10,-1371.3,0.56,37.1,-47.101907501207094
reversal,70,30,False,True,False,False,2.0,1795,0,10,-5756.9,0.56,37.2,-85.18159499082601
reversal,70,30,False,True,False,True,2.0,374,1,10,-2078.11,0.52,34.2,-52.0990340390801
reversal,70,30,False,True,True,False,2.0,953,1,10,-2980.43,0.63,38.2,-77.3762425861678
reversal,70,30,False,True,True,True,2.0,206,2,10,-959.58,0.61,38.8,-35.7064133107114
reversal,70,30,True,False,False,False,2.0,1694,0,10,-5430.1,0.58,37.1,-90.54496036434529
reversal,70,30,True,False,False,True,2.0,395,1,10,-2088.23,0.52,34.4,-50.968641779253886
reversal,70,30,True,False,True,False,2.0,1024,1,10,-3212.14,0.64,37.6,-84.86788919080495
reversal,70,30,True,False,True,True,2.0,244,1,10,-1315.62,0.53,36.1,-45.1754246055036
reversal,70,30,True,True,False,False,2.0,1387,0,10,-4494.19,0.59,38.1,-81.42933259594888
reversal,70,30,True,True,False,True,2.0,312,1,10,-1653.66,0.54,34.9,-48.27723148980686
reversal,70,30,True,True,True,False,2.0,780,1,10,-2347.73,0.67,39.0,-71.33576468304274
reversal,70,30,True,True,True,True,2.0,176,2,10,-888.74,0.61,38.1,-33.36492065550518
