num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,display_name,strategy
107,33.64485981308411,0.6274632031812867,-51.604674362606,-56.735732122733616,-0.3192934276300195,483.95325637394,288.29382291250437,BTC/USDT:USDT,BTC,v1_sniper
92,42.391304347826086,1.0522908585719202,5.855042956068655,-25.649015796597872,0.05068690282171046,1058.5504295606866,218.32279451025585,ETH/USDT:USDT,ETH,v1_sniper
81,35.80246913580247,0.5504307912478574,-47.29321866323843,-49.78788902090774,-0.37726066504627565,527.0678133676157,302.81523121481723,XAUT/USDT:USDT,XAUT,v1_sniper
91,52.74725274725275,0.9712583132164577,-3.708023720032225,-21.186419462703427,-0.0014786064375229362,962.9197627996778,545.7092586451602,NCSISP5002USD/USDT:USDT,SP500/USD,v1_sniper
85,49.411764705882355,1.0759331037809357,9.362721934014939,-17.14617220537291,0.07225536118871925,1093.6272193401494,451.9166011980782,NCSINASDAQ1002USD/USDT:USDT,NASDAQ100/USD,v1_sniper
46,45.65217391304348,1.2011603284802332,13.650883643701627,-21.446947143918642,0.16100847098480936,1136.5088364370163,124.07986031081391,NCCO1OILBRENT2USD/USDT:USDT,OIL_BRENT/USD,v1_sniper
40,52.5,1.2959303207391382,16.119637452917438,-17.305126306179446,0.20668112345976217,1161.1963745291744,133.95627203589623,NCCOXAG2USD/USDT:USDT,SILVER/USD,v1_sniper
115,46.08695652173913,1.3670787906135744,62.350914635310616,-16.913493243400048,0.23271646561530543,1623.5091463531062,244.1605763443097,HYPE/USDT:USDT,HYPE/USD,v1_sniper
61,49.18032786885246,1.0856485429853306,6.953603468004917,-17.559524671179567,0.07546175682891539,1069.5360346800492,267.15034771445005,NCSKAAPL2USD/USDT:USDT,AAPL/USD,v1_sniper
85,47.05882352941176,1.049409618343391,7.032145814085311,-35.83043576242845,0.06087917152801999,1070.321458140853,389.36831361224534,NCSKAMZN2USD/USDT:USDT,AMZN/USD,v1_sniper
153,29.411764705882355,0.4031045675584445,-86.13020249387816,-86.70100029669956,-0.6232296872822509,138.69797506121841,483.01457156693044,BTC/USDT:USDT,BTC,v2_liquidity_swift
152,24.342105263157894,0.40223739587755003,-87.81021092887033,-87.84225883571665,-0.6711295768496012,121.89789071129664,397.4726464414061,ETH/USDT:USDT,ETH,v2_liquidity_swift
146,30.136986301369863,0.30566869038769784,-88.1687347929293,-88.5015482000523,-0.7068506614446134,118.31265207070693,539.5352845890402,XAUT/USDT:USDT,XAUT,v2_liquidity_swift
128,29.6875,0.24284888488977083,-89.8627118935383,-90.01629054618611,-0.8701075636091962,101.37288106461703,580.5415284626928,NCSISP5002USD/USDT:USDT,SP500/USD,v2_liquidity_swift
139,30.935251798561154,0.3055077635430483,-88.39266835295355,-88.52593086582152,-0.7514081035970962,116.07331647046448,567.1500696413638,NCSINASDAQ1002USD/USDT:USDT,NASDAQ100/USD,v2_liquidity_swift
77,37.66233766233766,0.7501736790952773,-31.448024291251887,-45.071709450553286,-0.2217743942605721,685.5197570874811,365.5781286839581,NCCO1OILBRENT2USD/USDT:USDT,OIL_BRENT/USD,v2_liquidity_swift
84,34.523809523809526,0.574636123864089,-48.45372542139904,-53.1217730121048,-0.3737776303038414,515.4627457860096,388.65316480718786,NCCOXAG2USD/USDT:USDT,SILVER/USD,v2_liquidity_swift
156,29.48717948717949,0.572161116282667,-69.79559517183682,-70.60562603247524,-0.3630603839838788,302.0440482816319,324.8576438875623,HYPE/USDT:USDT,HYPE/USD,v2_liquidity_swift
121,32.231404958677686,0.3145085567159772,-81.13556790456035,-81.6195480323305,-0.6696386355829756,188.64432095439656,534.0671313209513,NCSKAAPL2USD/USDT:USDT,AAPL/USD,v2_liquidity_swift
107,30.8411214953271,0.3892267370815553,-69.22321339151551,-69.22321339151551,-0.5311590868394234,307.7678660848448,411.949858832898,NCSKAMZN2USD/USDT:USDT,AMZN/USD,v2_liquidity_swift
91,15.384615384615385,0.15789780714537224,-87.97869257608572,-88.15609216920477,-1.1386484815191138,120.21307423914274,351.48041786468286,BTC/USDT:USDT,BTC,v3_crt
103,19.41747572815534,0.2267021621068446,-86.09227842550162,-86.09227842550162,-0.9347654741245482,139.07721574498387,349.3725329095015,ETH/USDT:USDT,ETH,v3_crt
76,27.631578947368425,0.2260290527882091,-74.38459869140205,-74.38459869140205,-0.8723255645065969,256.1540130859795,440.33365540178664,XAUT/USDT:USDT,XAUT,v3_crt
67,16.417910447761194,0.0762126319216044,-83.30326159544033,-83.30326159544033,-1.308587422472935,166.96738404559665,409.2034923480053,NCSISP5002USD/USDT:USDT,SP500/USD,v3_crt
70,14.285714285714285,0.05973839064995213,-84.5409275637152,-84.5409275637152,-1.307559017149772,154.5907243628479,361.5990287857518,NCSINASDAQ1002USD/USDT:USDT,NASDAQ100/USD,v3_crt
45,35.55555555555556,0.5699969903676129,-31.27179454973318,-34.48758540981758,-0.39347697762046474,687.2820545026682,248.19129798449652,NCCO1OILBRENT2USD/USDT:USDT,OIL_BRENT/USD,v3_crt
45,22.22222222222222,0.2959711314157546,-51.46112572759194,-55.992059704541894,-0.779708432800091,485.3887427240806,205.9663604786434,NCCOXAG2USD/USDT:USDT,SILVER/USD,v3_crt
111,20.72072072072072,0.308594972981709,-81.67644686793555,-81.67644686793555,-0.7436833073732543,183.23553132064458,287.4297921548914,HYPE/USDT:USDT,HYPE/USD,v3_crt
42,11.904761904761903,0.08499902361602427,-67.03313329771635,-67.43492382682386,-1.2949597180881807,329.66866702283653,264.8193686687936,NCSKAAPL2USD/USDT:USDT,AAPL/USD,v3_crt
55,16.363636363636363,0.1428613005377537,-71.35184325430578,-72.20076506686667,-1.1115479945500821,286.4815674569423,304.533922130362,NCSKAMZN2USD/USDT:USDT,AMZN/USD,v3_crt
