symbol,span_days,base_trades,base_tpd,base_win_rate,base_pf,base_return,base_dd,new_trades,new_tpd,new_win_rate,new_pf,new_return,new_dd
SILVER/USD,172,40,0.23255813953488372,52.5,1.2959303207391382,16.119637452917438,-17.305126306179446,15,0.0872093023255814,73.33333333333333,3.7741223821878793,28.064362313651625,-4.34426228577776
SP500/USD,249,69,0.27710843373493976,56.52173913043478,1.1710248910893306,16.636150504531226,-11.961117199984031,37,0.14859437751004015,59.45945945945946,1.2776024725848922,11.946686357387875,-8.163633218217994
NASDAQ100/USD,249,85,0.3413654618473896,49.411764705882355,1.0759331037809357,9.362721934014939,-17.14617220537291,44,0.17670682730923695,50.0,1.1950818174041558,10.421460677417848,-9.167585641295165
OIL_BRENT/USD,149,46,0.3087248322147651,45.65217391304348,1.2011603284802332,13.650883643701627,-21.446947143918642,23,0.15436241610738255,65.21739130434783,2.7248487729350064,39.44457065662041,-5.992953885212325
XAUT,252,18,0.07142857142857142,55.55555555555556,1.242132258071762,5.873661681903968,-9.531245889700743,8,0.031746031746031744,62.5,2.148000834972996,9.37437291754386,-6.947260880569632
AMZN/USD,251,85,0.3386454183266932,47.05882352941176,1.049409618343391,7.032145814085311,-35.83043576242845,53,0.21115537848605578,54.71698113207547,1.5843952167998896,40.16561039815285,-12.11056375088364
