num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,final_capital,total_fees,symbol,percentile,trades_per_day
18,50.0,1.3626141378470304,8.801661084184797,-9.387490839487254,1088.016610841848,59.57894001150882,BTC,0,0.07142857142857142
40,47.5,1.4060529424421129,21.843912982891016,-11.016319258741081,1218.4391298289102,131.9592856109719,ETH,0,0.15873015873015872
8,37.5,1.0952880484763217,1.178889274472158,-7.0970235810505375,1011.7888927447216,25.256236345699193,XAUT,0,0.031746031746031744
60,41.66666666666667,1.0348519496745534,3.0532170430630003,-14.927251286969048,1030.53217043063,173.36232132194021,SOL,0,0.23809523809523808
0,,,0.0,0.0,1000.0,,SP500/USD,0,0.0
3,33.33333333333333,0.6230701265435177,-1.7156527018005363,-4.551649584225947,982.8434729819946,7.91650986081913,NASDAQ100/USD,0,0.012048192771084338
5,20.0,1.074702992332235,0.6457954743096479,-8.644840777428703,1006.4579547430965,9.455782122154734,OIL_BRENT/USD,90,0.03355704697986577
22,40.909090909090914,0.8763202290500391,-3.5802746164572676,-16.672043905758162,964.1972538354273,54.97803677927856,SILVER/USD,0,0.12790697674418605
9,33.33333333333333,1.1641388942173225,2.1141886204848106,-12.880485338749656,1021.1418862048481,15.622513389589258,HYPE/USD,80,0.03571428571428571
6,66.66666666666666,2.469115420265292,7.9540014546995055,-2.532605123854802,1079.540014546995,20.523645140893695,AAPL/USD,0,0.024291497975708502
7,42.857142857142854,1.060529286690471,0.6025116375468655,-9.454354304498015,1006.0251163754687,21.46624677113443,AMZN/USD,90,0.027888446215139442
