num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,display_name
107,33.64485981308411,0.6274632031812867,-51.604674362606,-56.735732122733616,-0.3192934276300195,483.95325637394,288.29382291250437,BTC/USDT:USDT,BTC
92,42.391304347826086,1.0522908585719202,5.855042956068655,-25.649015796597872,0.05068690282171046,1058.5504295606866,218.32279451025585,ETH/USDT:USDT,ETH
81,35.80246913580247,0.5504307912478574,-47.29321866323843,-49.78788902090774,-0.37726066504627565,527.0678133676157,302.81523121481723,XAUT/USDT:USDT,XAUT
91,52.74725274725275,0.9712583132164577,-3.708023720032225,-21.186419462703427,-0.0014786064375229362,962.9197627996778,545.7092586451602,NCSISP5002USD/USDT:USDT,SP500/USD
85,49.411764705882355,1.0759331037809357,9.362721934014939,-17.14617220537291,0.07225536118871925,1093.6272193401494,451.9166011980782,NCSINASDAQ1002USD/USDT:USDT,NASDAQ100/USD
46,45.65217391304348,1.2011603284802332,13.650883643701627,-21.446947143918642,0.16100847098480936,1136.5088364370163,124.07986031081391,NCCO1OILBRENT2USD/USDT:USDT,OIL_BRENT/USD
40,52.5,1.2959303207391382,16.119637452917438,-17.305126306179446,0.20668112345976217,1161.1963745291744,133.95627203589623,NCCOXAG2USD/USDT:USDT,SILVER/USD
115,46.08695652173913,1.3670787906135744,62.350914635310616,-16.913493243400048,0.23271646561530543,1623.5091463531062,244.1605763443097,HYPE/USDT:USDT,HYPE/USD
61,49.18032786885246,1.0856485429853306,6.953603468004917,-17.559524671179567,0.07546175682891539,1069.5360346800492,267.15034771445005,NCSKAAPL2USD/USDT:USDT,AAPL/USD
85,47.05882352941176,1.049409618343391,7.032145814085311,-35.83043576242845,0.06087917152801999,1070.321458140853,389.36831361224534,NCSKAMZN2USD/USDT:USDT,AMZN/USD
