pase,anchor,confirmer,symbol,horizon,n_signals,n_conclusive,hit_rate,avg_ret_aligned_pct
B_1h_4h,macd,ema,BTC,4,6474,5086,51.4,0.058
B_1h_4h,macd,adx,BTC,4,9374,7399,49.6,-0.003
B_1h_4h,macd,vol,BTC,4,5068,4313,50.6,0.03
B_1h_4h,bb,rsi,BTC,1,635,370,65.1,0.122
B_1h_4h,bb,macd,BTC,1,707,444,57.0,0.061
B_1h_4h,bb,ema,BTC,1,881,520,55.8,0.052
B_1h_4h,bb,adx,BTC,1,1663,1084,54.4,0.026
B_1h_4h,bb,vol,BTC,1,1261,918,52.1,0.023
B_1h_4h,bb,rsi,BTC,2,635,458,68.1,0.204
B_1h_4h,bb,macd,BTC,2,707,534,59.2,0.11
B_1h_4h,bb,ema,BTC,2,881,615,56.4,0.084
B_1h_4h,bb,adx,BTC,2,1663,1240,55.2,0.037
B_1h_4h,bb,vol,BTC,2,1261,1029,53.1,0.041
B_1h_4h,bb,rsi,BTC,4,635,489,67.1,0.248
B_1h_4h,bb,macd,BTC,4,707,571,58.0,0.147
B_1h_4h,bb,ema,BTC,4,881,651,61.3,0.128
B_1h_4h,bb,adx,BTC,4,1663,1321,56.9,0.05
B_1h_4h,bb,vol,BTC,4,1261,1049,53.5,0.044
C_4h_4h,rsi,(solo),BTC,1,95,71,63.4,0.108
C_4h_4h,rsi,macd,BTC,1,10,9,77.8,0.587
C_4h_4h,rsi,bb,BTC,1,0,0,,
C_4h_4h,rsi,ema,BTC,1,0,0,,
C_4h_4h,rsi,adx,BTC,1,91,67,61.2,0.097
C_4h_4h,rsi,vol,BTC,1,48,34,73.5,0.188
C_4h_4h,rsi,(solo),BTC,2,95,84,63.1,0.24
C_4h_4h,rsi,macd,BTC,2,10,9,66.7,0.429
C_4h_4h,rsi,bb,BTC,2,0,0,,
C_4h_4h,rsi,ema,BTC,2,0,0,,
C_4h_4h,rsi,adx,BTC,2,91,81,63.0,0.231
C_4h_4h,rsi,vol,BTC,2,48,42,66.7,0.31
C_4h_4h,macd,(solo),BTC,1,3280,2571,48.7,0.017
C_4h_4h,macd,rsi,BTC,1,1723,1391,46.7,0.018
C_4h_4h,macd,bb,BTC,1,1710,1400,47.2,0.02
C_4h_4h,macd,ema,BTC,1,1593,1267,47.7,0.03
C_4h_4h,macd,adx,BTC,1,2344,1879,48.2,0.002
C_4h_4h,macd,vol,BTC,1,1267,1069,48.1,0.021
C_4h_4h,macd,(solo),BTC,2,3279,2766,49.6,0.001
C_4h_4h,macd,rsi,BTC,2,1723,1489,47.7,0.007
C_4h_4h,macd,bb,BTC,2,1710,1484,46.8,-0.002
C_4h_4h,macd,ema,BTC,2,1593,1360,48.8,0.014
C_4h_4h,macd,adx,BTC,2,2343,1989,48.8,-0.014
C_4h_4h,macd,vol,BTC,2,1267,1118,48.3,-0.004
C_4h_4h,bb,(solo),BTC,1,600,481,55.3,0.043
C_4h_4h,bb,rsi,BTC,1,64,49,38.8,-0.151
C_4h_4h,bb,macd,BTC,1,56,42,59.5,0.189
C_4h_4h,bb,ema,BTC,1,162,130,55.4,0.023
C_4h_4h,bb,adx,BTC,1,453,360,55.0,0.055
C_4h_4h,bb,vol,BTC,1,265,223,54.3,0.056
C_4h_4h,bb,(solo),BTC,2,600,512,54.7,0.057
C_4h_4h,bb,rsi,BTC,2,64,54,35.2,-0.211
C_4h_4h,bb,macd,BTC,2,56,46,45.7,0.217
C_4h_4h,bb,ema,BTC,2,162,137,57.7,0.126
C_4h_4h,bb,adx,BTC,2,453,384,54.2,0.046
C_4h_4h,bb,vol,BTC,2,265,232,51.3,0.038
A_1h_1h,rsi,(solo),ETH,1,417,309,48.5,-0.001
A_1h_1h,rsi,macd,ETH,1,68,51,52.9,0.001
A_1h_1h,rsi,bb,ETH,1,7,5,40.0,0.131
A_1h_1h,rsi,ema,ETH,1,7,6,50.0,-0.057
A_1h_1h,rsi,adx,ETH,1,398,296,48.0,-0.003
A_1h_1h,rsi,vol,ETH,1,184,137,49.6,0.022
A_1h_1h,rsi,(solo),ETH,2,417,350,49.4,-0.048
A_1h_1h,rsi,macd,ETH,2,68,58,56.9,0.023
A_1h_1h,rsi,bb,ETH,2,7,7,57.1,-0.357
A_1h_1h,rsi,ema,ETH,2,7,6,66.7,0.035
A_1h_1h,rsi,adx,ETH,2,398,338,49.1,-0.058
A_1h_1h,rsi,vol,ETH,2,184,157,52.2,-0.038
A_1h_1h,rsi,(solo),ETH,4,417,352,49.4,-0.103
A_1h_1h,rsi,macd,ETH,4,68,58,53.4,-0.162
A_1h_1h,rsi,bb,ETH,4,7,7,71.4,0.148
A_1h_1h,rsi,ema,ETH,4,7,6,66.7,0.575
A_1h_1h,rsi,adx,ETH,4,398,336,48.8,-0.119
A_1h_1h,rsi,vol,ETH,4,184,162,52.5,-0.098
A_1h_1h,macd,(solo),ETH,1,13126,9284,48.9,0.011
A_1h_1h,macd,rsi,ETH,1,6895,4898,46.6,0.016
A_1h_1h,macd,bb,ETH,1,6922,4935,46.3,0.017
A_1h_1h,macd,ema,ETH,1,6432,4607,48.0,0.02
A_1h_1h,macd,adx,ETH,1,9262,6766,49.0,0.005
A_1h_1h,macd,vol,ETH,1,4755,3573,48.1,0.032
A_1h_1h,macd,(solo),ETH,2,13125,10377,48.9,0.011
A_1h_1h,macd,rsi,ETH,2,6895,5481,46.3,0.015
A_1h_1h,macd,bb,ETH,2,6922,5507,46.1,0.018
A_1h_1h,macd,ema,ETH,2,6431,5119,47.5,0.023
A_1h_1h,macd,adx,ETH,2,9261,7472,48.9,-0.002
A_1h_1h,macd,vol,ETH,2,4755,3929,48.0,0.024
A_1h_1h,macd,(solo),ETH,4,13123,11102,49.2,0.023
A_1h_1h,macd,rsi,ETH,4,6895,5844,46.4,0.029
A_1h_1h,macd,bb,ETH,4,6922,5894,46.3,0.041
A_1h_1h,macd,ema,ETH,4,6429,5456,47.2,0.032
A_1h_1h,macd,adx,ETH,4,9259,7934,49.0,0.008
A_1h_1h,macd,vol,ETH,4,4755,4118,48.8,0.062
A_1h_1h,bb,(solo),ETH,1,2475,1790,51.5,0.006
A_1h_1h,bb,rsi,ETH,1,302,204,50.0,0.074
A_1h_1h,bb,macd,ETH,1,316,221,54.8,0.074
A_1h_1h,bb,ema,ETH,1,621,433,50.6,0.004
A_1h_1h,bb,adx,ETH,1,1790,1327,52.0,0.006
A_1h_1h,bb,vol,ETH,1,1126,827,51.5,0.029
A_1h_1h,bb,(solo),ETH,2,2475,1988,52.4,-0.012
A_1h_1h,bb,rsi,ETH,2,302,233,48.5,0.08
A_1h_1h,bb,macd,ETH,2,316,258,49.6,0.015
A_1h_1h,bb,ema,ETH,2,621,481,49.1,0.006
A_1h_1h,bb,adx,ETH,2,1790,1469,52.3,-0.029
A_1h_1h,bb,vol,ETH,2,1126,925,50.9,0.004
A_1h_1h,bb,(solo),ETH,4,2475,2147,53.6,-0.023
A_1h_1h,bb,rsi,ETH,4,302,258,54.3,0.163
A_1h_1h,bb,macd,ETH,4,316,279,47.7,-0.021
A_1h_1h,bb,ema,ETH,4,621,539,52.7,0.011
A_1h_1h,bb,adx,ETH,4,1790,1569,53.0,-0.056
A_1h_1h,bb,vol,ETH,4,1126,982,53.6,-0.001
B_1h_4h,rsi,macd,ETH,1,23,18,72.2,0.532
B_1h_4h,rsi,bb,ETH,1,6,6,100.0,1.738
B_1h_4h,rsi,ema,ETH,1,88,66,48.5,0.004
B_1h_4h,rsi,adx,ETH,1,326,249,48.6,-0.008
B_1h_4h,rsi,vol,ETH,1,225,176,48.9,0.017
B_1h_4h,rsi,macd,ETH,2,23,17,76.5,0.626
B_1h_4h,rsi,bb,ETH,2,6,6,100.0,2.093
B_1h_4h,rsi,ema,ETH,2,88,73,50.7,-0.004
B_1h_4h,rsi,adx,ETH,2,326,277,49.8,-0.035
B_1h_4h,rsi,vol,ETH,2,225,193,50.3,-0.069
B_1h_4h,rsi,macd,ETH,4,23,18,77.8,0.923
B_1h_4h,rsi,bb,ETH,4,6,6,100.0,2.543
B_1h_4h,rsi,ema,ETH,4,88,74,52.7,0.03
B_1h_4h,rsi,adx,ETH,4,326,272,48.2,-0.113
B_1h_4h,rsi,vol,ETH,4,225,195,50.3,-0.112
B_1h_4h,macd,rsi,ETH,1,6370,4579,52.8,0.084
B_1h_4h,macd,bb,ETH,1,6350,4557,53.1,0.09
B_1h_4h,macd,ema,ETH,1,6535,4670,51.2,0.049
B_1h_4h,macd,adx,ETH,1,8757,6398,48.8,0.009
B_1h_4h,macd,vol,ETH,1,5040,4014,50.9,0.044
B_1h_4h,macd,rsi,ETH,2,6369,5067,52.9,0.133
B_1h_4h,macd,bb,ETH,2,6349,5052,53.4,0.145
B_1h_4h,macd,ema,ETH,2,6534,5185,51.0,0.079
B_1h_4h,macd,adx,ETH,2,8756,7078,48.9,0.01
B_1h_4h,macd,vol,ETH,2,5040,4326,50.4,0.041
B_1h_4h,macd,rsi,ETH,4,6367,5401,51.9,0.174
B_1h_4h,macd,bb,ETH,4,6347,5404,52.2,0.196
B_1h_4h,macd,ema,ETH,4,6532,5526,51.2,0.12
B_1h_4h,macd,adx,ETH,4,8754,7487,49.3,0.021
B_1h_4h,macd,vol,ETH,4,5040,4505,50.5,0.076
B_1h_4h,bb,rsi,ETH,1,695,491,59.5,0.124
B_1h_4h,bb,macd,ETH,1,758,553,55.3,0.085
B_1h_4h,bb,ema,ETH,1,940,657,54.2,0.04
B_1h_4h,bb,adx,ETH,1,1610,1205,51.0,0.004
B_1h_4h,bb,vol,ETH,1,1295,1024,49.4,-0.006
B_1h_4h,bb,rsi,ETH,2,695,547,59.8,0.197
B_1h_4h,bb,macd,ETH,2,758,610,57.4,0.138
B_1h_4h,bb,ema,ETH,2,940,742,55.0,0.062
B_1h_4h,bb,adx,ETH,2,1610,1320,52.2,-0.023
B_1h_4h,bb,vol,ETH,2,1295,1115,49.7,-0.041
B_1h_4h,bb,rsi,ETH,4,695,605,62.8,0.265
B_1h_4h,bb,macd,ETH,4,758,665,59.2,0.205
B_1h_4h,bb,ema,ETH,4,940,815,57.4,0.101
B_1h_4h,bb,adx,ETH,4,1610,1410,53.1,-0.046
B_1h_4h,bb,vol,ETH,4,1295,1162,51.7,-0.073
C_4h_4h,rsi,(solo),ETH,1,102,96,51.0,-0.045
C_4h_4h,rsi,macd,ETH,1,16,15,60.0,0.083
C_4h_4h,rsi,bb,ETH,1,1,1,100.0,2.507
C_4h_4h,rsi,ema,ETH,1,1,1,0.0,-1.244
C_4h_4h,rsi,adx,ETH,1,97,91,50.5,-0.034
C_4h_4h,rsi,vol,ETH,1,50,49,57.1,0.143
C_4h_4h,rsi,(solo),ETH,2,102,92,51.1,-0.001
C_4h_4h,rsi,macd,ETH,2,16,14,57.1,0.158
C_4h_4h,rsi,bb,ETH,2,1,1,100.0,2.92
C_4h_4h,rsi,ema,ETH,2,1,1,100.0,0.406
C_4h_4h,rsi,adx,ETH,2,97,87,50.6,-0.017
C_4h_4h,rsi,vol,ETH,2,50,44,59.1,0.147
C_4h_4h,macd,(solo),ETH,1,3280,2758,48.8,0.041
C_4h_4h,macd,rsi,ETH,1,1673,1415,46.7,0.051
C_4h_4h,macd,bb,ETH,1,1656,1407,47.1,0.061
C_4h_4h,macd,ema,ETH,1,1605,1348,48.6,0.077
C_4h_4h,macd,adx,ETH,1,2189,1853,48.4,0.025
C_4h_4h,macd,vol,ETH,1,1260,1100,48.4,0.075
C_4h_4h,macd,(solo),ETH,2,3279,2938,49.2,0.023
C_4h_4h,macd,rsi,ETH,2,1673,1515,46.1,0.017
C_4h_4h,macd,bb,ETH,2,1656,1494,46.3,0.037
C_4h_4h,macd,ema,ETH,2,1605,1441,48.2,0.081
C_4h_4h,macd,adx,ETH,2,2188,1979,49.1,0.011
C_4h_4h,macd,vol,ETH,2,1260,1134,46.2,0.015
C_4h_4h,bb,(solo),ETH,1,607,501,52.5,0.037
