num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,final_capital,total_fees,breakeven_saves,symbol
60,33.33333333333333,1.080452802933125,3.849994895349005,-9.914689487850978,1038.49994895349,101.09067753904948,37,BTC
64,28.125,0.9409482760032424,-2.4493022604462342,-16.953034306745586,975.5069773955377,87.7249344344657,43,ETH
54,35.18518518518518,0.8187149070087748,-7.781016078808579,-14.653804027010972,922.1898392119142,113.40143360152233,34,XAUT
62,27.419354838709676,0.6789141061547205,-19.01023921903062,-19.01023921903062,809.8976078096938,68.11606366855004,29,SOL
20,10.0,0.3560110322229171,-15.562852107103026,-22.146812402094007,844.3714789289697,69.45018915610345,10,SP500/USD
20,35.0,0.7763164510446737,-4.092163924624197,-9.305307629943211,959.078360753758,54.221487589400354,11,NASDAQ100/USD
9,22.22222222222222,0.4221333512751161,-3.8421127952004896,-6.300248852077566,961.5788720479951,5.40124287523158,4,OIL_BRENT/USD
11,18.181818181818183,0.4300982485980921,-6.340372138359897,-9.800721512605401,936.596278616401,12.656051906047548,6,SILVER/USD
58,24.137931034482758,1.1389758517698627,6.627399181572537,-15.053715239964266,1066.2739918157254,57.536327892093965,36,HYPE/USD
24,37.5,1.0841578845039295,1.638545815602106,-11.718054441409175,1016.3854581560211,43.70532973972968,11,AAPL/USD
24,37.5,0.9103949761330917,-2.5937256350690405,-8.54498824172631,974.0627436493096,39.026050530569584,7,AMZN/USD
