combo_id,symbol,stop_mode,atr_mult,wick_buffer_frac,require_pattern,rr_ratio,num_trades,win_rate,profit_factor,pnl_net_total,max_drawdown_pct
1,BTC,atr,1.0,,False,2.0,365,47.12328767123288,1.0236196259414436,135.46987163531207,-43.429952421679666
1,ETH,atr,1.0,,False,2.0,393,46.81933842239186,1.107438981468017,743.5461006535725,-48.549576331339324
1,XAUT,atr,1.0,,False,2.0,348,36.206896551724135,0.4559374720344591,-966.6413010300801,-96.76805392205982
1,SP500/USD,atr,1.0,,False,2.0,161,42.2360248447205,0.47509237954826394,-785.2936742922318,-78.64741598391844
1,NASDAQ100/USD,atr,1.0,,False,2.0,158,33.54430379746836,0.4909546930776106,-787.5031402707657,-80.38362349440263
1,OIL_BRENT/USD,atr,1.0,,False,2.0,105,46.666666666666664,1.135796401836935,205.82940601503606,-20.038019323290655
1,SILVER/USD,atr,1.0,,False,2.0,144,35.41666666666667,0.6645339566225061,-554.0018602259668,-60.11871711746159
1,HYPE,atr,1.0,,False,2.0,389,42.9305912596401,1.133100275711291,1344.7968520188442,-34.941156984587664
1,AAPL/USD,atr,1.0,,False,2.0,201,41.29353233830846,0.5970073941147657,-728.5031739842009,-77.89138854984769
1,AMZN/USD,atr,1.0,,False,2.0,182,37.91208791208791,0.5947386678683838,-722.631670931695,-76.73629813431086
2,BTC,atr,1.0,,True,2.0,254,43.7007874015748,0.8859443198972032,-358.1716251398392,-46.8426869548065
2,ETH,atr,1.0,,True,2.0,257,47.081712062256805,1.1763025264069373,610.0547416156746,-31.038228903936034
2,XAUT,atr,1.0,,True,2.0,260,39.23076923076923,0.5433990927127225,-880.5068718322032,-88.2426521961658
2,SP500/USD,atr,1.0,,True,2.0,117,45.2991452991453,0.5208442634203166,-630.315571073715,-64.6483788911454
2,NASDAQ100/USD,atr,1.0,,True,2.0,107,28.971962616822427,0.3719715973545937,-750.1845520040924,-76.2791095012691
2,OIL_BRENT/USD,atr,1.0,,True,2.0,67,53.73134328358209,1.4449806736592636,390.7722572281714,-11.349980349016606
2,SILVER/USD,atr,1.0,,True,2.0,96,29.166666666666668,0.43508446562067,-629.430375053608,-62.9430375053608
